พลอย,ต.หลักหก อ.เมืองปทุมธานี จ.ปทุมธานี 12000,เขตพื้นที่การศึกษาปทุมธานี เขต 1
พะเนา,ต.พะเนา อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,เขตพื้นที่การศึกษานครราชสีมา เขต 1
พนาหนองหิน,ต.แชะ อ.ครบุรี จ.นครราชสีมา 30250,เขตพื้นที่การศึกษานครราชสีมา เขต 3
พระนารายณ์,ต.คลองเมือง อ.จักราช จ.นครราชสีมา 30230,เขตพื้นที่การศึกษานครราชสีมา เขต 2
พิชิตคเชนทร์,ต.โชคชัย อ.โชคชัย จ.นครราชสีมา 30190,เขตพื้นที่การศึกษานครราชสีมา เขต 2
พระมะขามสามัคคี,ต.ด่านใน อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
พันชนะ,ต.พันชนะ อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
พลจลก,ต.มะค่า อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
พลสงคราม(แพงรัฐราษฎร์วิทยา),ต.พลสงคราม อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
พัดทะเล,ต.ลำนางแก้ว อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
พันธ์สงวน,ต.ธงชัยเหนือ อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
พุปลาไหล,ต.สุขเกษม อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
พุทรา,ต.รังกาใหญ่ อ.พิมาย จ.นครราชสีมา 30110,เขตพื้นที่การศึกษานครราชสีมา เขต 7
พะงาดวิทยา,ต.ท่าลาด อ.ชุมพวง จ.นครราชสีมา 30270,เขตพื้นที่การศึกษานครราชสีมา เขต 7
พันดุง,ต.พันดุง อ.ขามทะเลสอ จ.นครราชสีมา 30280,เขตพื้นที่การศึกษานครราชสีมา เขต 5
พระ,ต.สารภี อ.หนองบุนนาก จ.นครราชสีมา 30410,เขตพื้นที่การศึกษานครราชสีมา เขต 2
พระพุทธ,ต.พระพุทธ อ.เฉลิมพระเกียรติ จ.นครราชสีมา 30230,เขตพื้นที่การศึกษานครราชสีมา เขต 2
พลวง,ต.สวายจีก อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
พะไล,ต.ถลุงเหล็ก อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
พระครูน้อย,ต.กลันทา อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
พรสำราญ,ต.พรสำราญ อ.คูเมือง จ.บุรีรัมย์ 31190,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
พาชี,ต.ปังกู อ.ประโคนชัย จ.บุรีรัมย์ 31140,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
พงแขม,ต.สนามชัย อ.สตึก จ.บุรีรัมย์ 31150,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
พูนสุข (ประชานุกูล),ต.เจริญสุข อ.เฉลิมพระเกียรติ จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
พันธุลี,ต.นอกเมือง อ.เมืองสุรินทร์ จ.สุรินทร์ 32000,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
พรมเทพ(พรมเทพราษฎร์บำรุง),ต.พรมเทพ อ.ท่าตูม จ.สุรินทร์ 32120,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
พิงพวย,ต.บัวโคก อ.ท่าตูม จ.สุรินทร์ 32120,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
พลวง(พรหมบำรุงราษฎร์),ต.บ้านพลวง อ.ปราสาท จ.สุรินทร์ 32140,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
พนม,ต.ประทัดบุ อ.ปราสาท จ.สุรินทร์ 32140,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
พม่า,ต.จารพัต อ.ศีขรภูมิ จ.สุรินทร์ 32110,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
พันษี,ต.จารพัต อ.ศีขรภูมิ จ.สุรินทร์ 32110,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
พรหมสะอาด,ต.พระแก้ว อ.สังขะ จ.สุรินทร์ 32150,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
พระแก้ว,ต.พระแก้ว อ.สังขะ จ.สุรินทร์ 32150,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
พนมดิน,ต.ตาเมียง อ.พนมดงรัก จ.สุรินทร์ 32140,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
พะเนาว์,ต.แจนแวน อ.ศรีณรงค์ จ.สุรินทร์ 32150,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
พะเนา,ต.ปราสาททอง อ.เขวาสินรินทร์ จ.สุรินทร์ 32000,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
พระปืด,ต.บ้านแร่ อ.เขวาสินรินทร์ จ.สุรินทร์ 32000,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
พะแนงวิทยา,ต.จาน อ.กันทรารมย์ จ.ศรีสะเกษ 33130,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
พันลำ,ต.บัวน้อย อ.กันทรารมย์ จ.ศรีสะเกษ 33130,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
พรทิพย์,ต.เสาธงชัย อ.กันทรลักษ์ จ.ศรีสะเกษ 33110,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
พะเยียวตาสุ(อสพป.37),ต.ใจดี อ.ขุขันธ์ จ.ศรีสะเกษ 33140,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
พราน,ต.ไพรบึง อ.ไพรบึง จ.ศรีสะเกษ 33180,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
พะแวะ,ต.สุขสวัสดิ์ อ.ไพรบึง จ.ศรีสะเกษ 33180,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
พอก,ต.กู่ อ.ปรางค์กู่ จ.ศรีสะเกษ 33170,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
พราน(ประชานุเคราะห์),ต.พราน อ.ขุนหาญ จ.ศรีสะเกษ 33150,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
พอกบำรุงวิทยา,ต.ไพร อ.ขุนหาญ จ.ศรีสะเกษ 33150,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
พยอม,ต.โพธิ์กระสังข์ อ.ขุนหาญ จ.ศรีสะเกษ 33150,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
พลับ,ต.ปะอาว อ.อุทุมพรพิสัย จ.ศรีสะเกษ 33120,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
พงพรต,ต.หนองห้าง อ.อุทุมพรพิสัย จ.ศรีสะเกษ 33120,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
พอกหนองแข้,ต.กล้วยกว้าง อ.ห้วยทับทัน จ.ศรีสะเกษ 33210,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
พงสิม,ต.จานแสนไชย อ.ห้วยทับทัน จ.ศรีสะเกษ 33210,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
พะวร,ต.จานแสนไชย อ.ห้วยทับทัน จ.ศรีสะเกษ 33210,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
พิงพวย(เสียงราษฎร์พัฒนา),ต.พิงพวย อ.ศรีรัตนะ จ.ศรีสะเกษ 33240,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
พนมชัย,ต.ห้วยตามอญ อ.ภูสิงห์ จ.ศรีสะเกษ 33140,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
พรหมเจริญ,ต.ละลม อ.ภูสิงห์ จ.ศรีสะเกษ 33140,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
พับ,ต.ก่อเอ้ อ.เขื่องใน จ.อุบลราชธานี 34150,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
พนมดี,ต.หนองผือ อ.เขมราฐ จ.อุบลราชธานี 34170,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
พอก,ต.เป้า อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
พิณโท,ต.ม่วงสามสิบ อ.ม่วงสามสิบ จ.อุบลราชธานี,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
พระโรจน์(ชนูปถัมภ์),ต.หนองช้างใหญ่ อ.ม่วงสามสิบ จ.อุบลราชธานี 34140,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
พะไล,ต.โพธิ์ไทร อ.โพธิ์ไทร จ.อุบลราชธานี 34340,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
พะลอง,ต.สารภี อ.โพธิ์ไทร จ.อุบลราชธานี 34340,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
พลาญชัย,ต.โนนก่อ อ.สิรินธร จ.อุบลราชธานี 34350,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
พะลาน,ต.พะลาน อ.นาตาล จ.อุบลราชธานี 34170,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
พังเคน,ต.พังเคน อ.นาตาล จ.อุบลราชธานี 34170,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
พลับหนองคำ(มหาชัยชิโนบล),ต.ดู่ทุ่ง อ.เมืองยโสธร จ.ยโสธร 35000,เขตพื้นที่การศึกษายโสธร เขต 1
พลไว,ต.คูเมือง อ.มหาชนะชัย จ.ยโสธร 35130,เขตพื้นที่การศึกษายโสธร เขต 1
พระเสาร์(สามัคคีวิทยาคม),ต.พระเสาร์ อ.มหาชนะชัย จ.ยโสธร 35130,เขตพื้นที่การศึกษายโสธร เขต 1
พรหมนิยม,ต.สวาท อ.เลิงนกทา จ.ยโสธร 35120,เขตพื้นที่การศึกษายโสธร เขต 2
พืชคาม,ต.ไทยเจริญ อ.ไทยเจริญ จ.ยโสธร 35120,เขตพื้นที่การศึกษายโสธร เขต 2
พอกโนนหนองผือคำไผ่ใต้,ต.คำไผ่ อ.ไทยเจริญ จ.ยโสธร 35120,เขตพื้นที่การศึกษายโสธร เขต 2
พรมห้วยข่าวิทยา,ต.บ้านเป้า อ.เกษตรสมบูรณ์ จ.ชัยภูมิ 36120,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
พีพวย,ต.สระโพนทอง อ.เกษตรสมบูรณ์ จ.ชัยภูมิ 36120,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
พลับ(มีราษฎร์บำรุง),ต.หนองโดน อ.จัตุรัส จ.ชัยภูมิ 36130,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
พรมใต้พิทยาคาร,ต.ผักปัง อ.ภูเขียว จ.ชัยภูมิ 36110,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
พัฒนาสามัคคี,ต.บ้านเจียง อ.ภักดีชุมพล จ.ชัยภูมิ 36260,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
พุทธรักษา,ต.โคกก่ง อ.ชานุมาน จ.อำนาจเจริญ 37210,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
พร้าว,ต.บ้านพร้าว อ.เมืองหนองบัวลำภู จ.หนองบัวลำภู 39000,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
พงษ์,ต.บริบูรณ์ อ.สีชมพู จ.ขอนแก่น 40220,เขตพื้นที่การศึกษาขอนแก่น เขต 5
พระบาทท่าเรือ,ต.เขื่อนอุบลรัตน์ อ.อุบลรัตน์ จ.ขอนแก่น 40250,เขตพื้นที่การศึกษาขอนแก่น เขต 4
พระบาท,ต.หว้าทอง อ.ภูเวียง จ.ขอนแก่น 40150,เขตพื้นที่การศึกษาขอนแก่น เขต 5
พระบาทโนนคูณ,ต.ทุ่งชมพู อ.ภูเวียง จ.ขอนแก่น 40150,เขตพื้นที่การศึกษาขอนแก่น เขต 5
พรานเหมือน,ต.บ้านขาว อ.เมืองอุดรธานี จ.อุดรธานี 41000,เขตพื้นที่การศึกษาอุดรธานี เขต 1
พรสวรรค์,ต.หนองนาคำ อ.เมืองอุดรธานี จ.อุดรธานี 41000,เขตพื้นที่การศึกษาอุดรธานี เขต 1
พันดอน,ต.พันดอน อ.กุมภวาปี จ.อุดรธานี 41370,เขตพื้นที่การศึกษาอุดรธานี เขต 2
พังงู,ต.พังงู อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
พังซ่อน,ต.พังงู อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
พองหนีบ,ต.ศรีฐาน อ.ภูกระดึง จ.เลย 42180,เขตพื้นที่การศึกษาเลย เขต 2
พวยเด้ง,ต.ท่าช้างคล้อง อ.ผาขาว จ.เลย 42240,เขตพื้นที่การศึกษาเลย เขต 2
พร้าวเหนือ,ต.กวนวัน อ.เมืองหนองคาย จ.หนองคาย 43000,เขตพื้นที่การศึกษาหนองคาย เขต 1
พันลำ(เจริญวิทยา),ต.วิศิษฐ์ อ.บึงกาฬ จ.หนองคาย 43140,เขตพื้นที่การศึกษาหนองคาย เขต 3
พานพร้าว,ต.พานพร้าว อ.ศรีเชียงใหม่ จ.หนองคาย,เขตพื้นที่การศึกษาหนองคาย เขต 1
พรสวรรค์,ต.ปากคาด อ.ปากคาด จ.หนองคาย 43190,เขตพื้นที่การศึกษาหนองคาย เขต 2
พระบาทนาหงส์ สาขา โนนภูทอง,ต.นาทับไฮ อ.รัตนวาปี จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
พระบาทนาหงส์,ต.พระบาทนาสิงห์ อ.รัตนวาปี จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
พงโพด,ต.หนองสิม อ.บรบือ จ.มหาสารคาม 44130,เขตพื้นที่การศึกษามหาสารคาม เขต 2
พิลา,ต.ขี้เหล็ก อ.ปทุมรัตต์ จ.ร้อยเอ็ด 45190,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
พนมไพร,ต.พนมไพร อ.พนมไพร จ.ร้อยเอ็ด 45140,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
พนัสดงสว่างวิทย์,ต.ชานุวรรณ อ.พนมไพร จ.ร้อยเอ็ด 45140,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
พรหมจรรย์,ต.โคกกกม่วง อ.โพนทอง จ.ร้อยเอ็ด 45110,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
พรมสวรรค์,ต.พรมสวรรค์ อ.โพนทอง จ.ร้อยเอ็ด 45110,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
พันขาง,ต.นางาม อ.เสลภูมิ จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
พยอม,ต.ดินดำ อ.จังหาร จ.ร้อยเอ็ด 45000,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
พลับพลา,ต.พลับพลา อ.เชียงขวัญ จ.ร้อยเอ็ด 45170,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
พระเจ้า(ศรีมหาธาตุ),ต.พระเจ้า อ.เชียงขวัญ จ.ร้อยเอ็ด 45000,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
พรหมสว่าง,ต.ภูแล่นช้าง อ.นาคู จ.กาฬสินธุ์ 46160,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
พานสหราษฎร์บำรุง,ต.ขมิ้น อ.เมืองสกลนคร จ.สกลนคร 47220,เขตพื้นที่การศึกษาสกลนคร เขต 1
พะโค,ต.ท่าแร่ อ.เมืองสกลนคร จ.สกลนคร 47230,เขตพื้นที่การศึกษาสกลนคร เขต 1
พะเนาว์ราษฎร์บำรุง,ต.ห้วยยาง อ.เมืองสกลนคร จ.สกลนคร 47000,เขตพื้นที่การศึกษาสกลนคร เขต 1
พะเนาว์ราษฎร์บำรุง สาขาบ้านนาขาม,ต.ห้วยยาง อ.เมืองสกลนคร จ.สกลนคร 47000,เขตพื้นที่การศึกษาสกลนคร เขต 1
พังขว้างวัฒนศิลป์,ต.พังขว้าง อ.เมืองสกลนคร จ.สกลนคร 47000,เขตพื้นที่การศึกษาสกลนคร เขต 1
พังขว้างเหนือ 909 กรป.กลางอุปถัมภ์,ต.พังขว้าง อ.เมืองสกลนคร จ.สกลนคร 47000,เขตพื้นที่การศึกษาสกลนคร เขต 1
พอกใหญดอนต้นม่วง,ต.พอกน้อย อ.พรรณานิคม จ.สกลนคร,เขตพื้นที่การศึกษาสกลนคร เขต 2
พังโคน(จำปาสามัคคีวิทยา),ต.พังโคน อ.พังโคน จ.สกลนคร 47160,เขตพื้นที่การศึกษาสกลนคร เขต 2
พุทธรักษา,ต.โนนสะอาด อ.บ้านม่วง จ.สกลนคร 47140,เขตพื้นที่การศึกษาสกลนคร เขต 3
พันนา,ต.พันนา อ.สว่างแดนดิน จ.สกลนคร 47240,เขตพื้นที่การศึกษาสกลนคร เขต 2
พนอม,ต.พนอม อ.ท่าอุเทน จ.นครพนม 48120,เขตพื้นที่การศึกษานครพนม เขต 2
พะทาย,ต.พะทาย อ.ท่าอุเทน จ.นครพนม 48120,เขตพื้นที่การศึกษานครพนม เขต 2
พืชผล,ต.นางัว อ.บ้านแพง จ.นครพนม 48140,เขตพื้นที่การศึกษานครพนม เขต 2
พระซองเหนือ,ต.พระซอง อ.นาแก จ.นครพนม 48130,เขตพื้นที่การศึกษานครพนม เขต 1
พิมานท่า,ต.พิมาน อ.นาแก จ.นครพนม 48130,เขตพื้นที่การศึกษานครพนม เขต 1
พันห่าวดอนดู่,ต.นาทม อ.นาทม จ.นครพนม 48140,เขตพื้นที่การศึกษานครพนม เขต 2
พังคอง,ต.บ้านโคก อ.เมืองมุกดาหาร จ.มุกดาหาร 49000,เขตพื้นที่การศึกษามุกดาหาร เขต 1
พรานอ้น,ต.คำอาฮวน อ.เมืองมุกดาหาร จ.มุกดาหาร 49000,เขตพื้นที่การศึกษามุกดาหาร เขต 1
พุย,ต.ปางหินฝน อ.แม่แจ่ม จ.เชียงใหม่ 50270,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
พุย สาขาพุยใต้,ต.ปางหินฝน อ.แม่แจ่ม จ.เชียงใหม่ 50270,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
พระนอน,ต.ดอนแก้ว อ.แม่ริม จ.เชียงใหม่ 50180,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
พุย,ต.บ่อหลวง อ.ฮอด จ.เชียงใหม่ 50240,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
พันตน,ต.ทุ่งปี้ อ.แม่วาง จ.เชียงใหม่ 50360,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
พระบาท,ต.พระบาท อ.เมืองลำปาง จ.ลำปาง 52000,เขตพื้นที่การศึกษาลำปาง เขต 1
พันเชิง(วงศ์หล้าราษฎร์บำรุง),ต.ช่อแฮ อ.เมืองแพร่ จ.แพร่ 54000,เขตพื้นที่การศึกษาแพร่ เขต 1
พรหม,ต.หนองแดง อ.แม่จริม จ.น่าน 55170,เขตพื้นที่การศึกษาน่าน เขต 1
พี้ใต้,ต.บ้านพี้ อ.บ้านหลวง จ.น่าน 55190,เขตพื้นที่การศึกษาน่าน เขต 1
พี้เหนือ,ต.บ้านพี้ อ.บ้านหลวง จ.น่าน 55190,เขตพื้นที่การศึกษาน่าน เขต 1
พืชเจริญ,ต.น้ำตก อ.นาน้อย จ.น่าน 55150,เขตพื้นที่การศึกษาน่าน เขต 1
พาน,ต.แงง อ.ปัว จ.น่าน 55120,เขตพื้นที่การศึกษาน่าน เขต 2
พร้าว,ต.ยม อ.ท่าวังผา จ.น่าน 55140,เขตพื้นที่การศึกษาน่าน เขต 2
พะเยา,ต.อ่ายนาไลย อ.เวียงสา จ.น่าน 55110,เขตพื้นที่การศึกษาน่าน เขต 1
พร้าวกลาง,ต.พระธาตุ อ.เชียงกลาง จ.น่าน 55140,เขตพื้นที่การศึกษาน่าน เขต 2
พวงพยอม,ต.หงส์หิน อ.จุน จ.พะเยา 56150,เขตพื้นที่การศึกษาพะเยา เขต 2
พระนั่งดิน,ต.เวียง อ.เชียงคำ จ.พะเยา 56110,เขตพื้นที่การศึกษาพะเยา เขต 2
พญาพิภักดิ์,ต.ยางฮอม อ.ขุนตาล จ.เชียงราย 57340,เขตพื้นที่การศึกษาเชียงราย เขต 4
พญาไพร,ต.เทอดไทย อ.แม่ฟ้าหลวง จ.เชียงราย 57240,เขตพื้นที่การศึกษาเชียงราย เขต 3
พนาสวรรค์,ต.แม่สลองนอก อ.แม่ฟ้าหลวง จ.เชียงราย 57110,เขตพื้นที่การศึกษาเชียงราย เขต 3
พัฒนา,ต.แม่อูคอ อ.ขุนยวม จ.แม่ฮ่องสอน 58140,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 1
พะมอลอ,ต.บ้านกาศ อ.แม่สะเรียง จ.แม่ฮ่องสอน 58110,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
พระบาทห้วยผึ้ง,ต.แม่ลาน้อย อ.แม่ลาน้อย จ.แม่ฮ่องสอน 58120,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
พรหมเขต,ต.หนองกระโดน อ.เมืองนครสวรรค์ จ.นครสวรรค์ 60240,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
พนมรอก,ต.พนมรอก อ.ท่าตะโก จ.นครสวรรค์ 60160,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
พุขาม,ต.หนองหลวง อ.ท่าตะโก จ.นครสวรรค์ 60160,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
พระพุทธบาทประสาธน์วิทย์,ต.สำโรงชัย อ.ไพศาลี จ.นครสวรรค์ 60220,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
พลับพลาชัย,ต.หนองพิกุล อ.ตากฟ้า จ.นครสวรรค์ 60190,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
พุนกยูง,ต.พุนกยูง อ.ตากฟ้า จ.นครสวรรค์ 60190,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
พุม่วง,ต.อุดมธัญญา อ.ตากฟ้า จ.นครสวรรค์ 60190,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
พุมะค่า,ต.อุดมธัญญา อ.ตากฟ้า จ.นครสวรรค์ 60190,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
พนาสวรรค์,ต.แม่เปิน อ.แม่เปิน จ.นครสวรรค์ 60150,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
พุบอน,ต.บ้านไร่ อ.บ้านไร่ จ.อุทัยธานี 61140,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
พุต่อ,ต.ทัพหลวง อ.บ้านไร่ จ.อุทัยธานี 61140,เขตพื้นที่การศึกษาอุทัยธานี เขต 2
พานทอง,ต.พานทอง อ.ไทรงาม จ.กำแพงเพชร 62150,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
พรหมมาสามัคคี,ต.คลองลานพัฒนา อ.คลองลาน จ.กำแพงเพชร 62180,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
พัดโบก,ต.ปางมะค่า อ.ขาณุวรลักษบุรี จ.กำแพงเพชร 62140,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
พรานกระต่าย,ต.พรานกระต่าย อ.พรานกระต่าย จ.กำแพงเพชร 62110,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
พะละ,ต.ขะเนจื้อ อ.แม่ระมาด จ.ตาก 63140,เขตพื้นที่การศึกษาตาก เขต 2
พะเด๊ะ,ต.พระธาตุผาแดง อ.แม่สอด จ.ตาก 63110,เขตพื้นที่การศึกษาตาก เขต 2
พระปรางค์,ต.ศรีสัชนาลัย อ.ศรีสัชนาลัย จ.สุโขทัย 64130,เขตพื้นที่การศึกษาสุโขทัย เขต 2
พลายชุมพล,ต.พลายชุมพล อ.เมืองพิษณุโลก จ.พิษณุโลก 65000,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
พร้าว,ต.บ้านพร้าว อ.นครไทย จ.พิษณุโลก 65120,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
