ครัววิทยา,แขวงถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร 10400,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
คลองยาง,ต.บ่อทอง อ.บ่อทอง จ.ชลบุรี 20270,เขตพื้นที่การศึกษาชลบุรี เขต 2
คลองใหญ่,ต.บ่อทอง อ.บ่อทอง จ.ชลบุรี 20270,เขตพื้นที่การศึกษาชลบุรี เขต 2
คลองโอ่ง,ต.วัดสุวรรณ อ.บ่อทอง จ.ชลบุรี 20270,เขตพื้นที่การศึกษาชลบุรี เขต 2
คลองมือไทร (สว่างไสวราษฏร์บำรุง),ต.ธาตุทอง อ.บ่อทอง จ.ชลบุรี 20270,เขตพื้นที่การศึกษาชลบุรี เขต 2
คลองโค,ต.เกษตรสุวรรณ อ.บ่อทอง จ.ชลบุรี 20270,เขตพื้นที่การศึกษาชลบุรี เขต 2
คลองปริง,ต.เกษตรสุวรรณ อ.บ่อทอง จ.ชลบุรี 20270,เขตพื้นที่การศึกษาชลบุรี เขต 2
คลองกุ่ม,ต.พลวงทอง อ.บ่อทอง จ.ชลบุรี 20270,เขตพื้นที่การศึกษาชลบุรี เขต 2
คลองตาเพชร,ต.พลวงทอง อ.บ่อทอง จ.ชลบุรี 20270,เขตพื้นที่การศึกษาชลบุรี เขต 2
คลอง,ต.เกาะจันทร์ อ.เกาะจันทร์ จ.ชลบุรี 20240,เขตพื้นที่การศึกษาชลบุรี เขต 2
คลองบางไผ่,ต.สำนักท้อน อ.บ้านฉาง จ.ระยอง 21130,เขตพื้นที่การศึกษาระยอง เขต 1
คลองทราย,ต.พลา อ.บ้านฉาง จ.ระยอง 21130,เขตพื้นที่การศึกษาระยอง เขต 1
คลองทุเรียน,ต.ชากพง อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
คลองป่าไม้,ต.กระแสบน อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
คลองไผ่,ต.ชุมแสง อ.วังจันทร์ จ.ระยอง 21210,เขตพื้นที่การศึกษาระยอง เขต 2
คลองบางบ่อ,ต.พลงตาเอี่ยม อ.วังจันทร์ จ.ระยอง 21210,เขตพื้นที่การศึกษาระยอง เขต 2
ค่าย,ต.หนองละลอก อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
คลองยายเมือง,ต.บางบุตร อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
คลองขนุน,ต.หนองบัว อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
คลองกรำ,ต.ตาสิทธิ์ อ.ปลวกแดง จ.ระยอง 21140,เขตพื้นที่การศึกษาระยอง เขต 1
คลองน้ำแดง,ต.หนองไร่ อ.ปลวกแดง จ.ระยอง 21140,เขตพื้นที่การศึกษาระยอง เขต 1
คลองหวายโป่ง(สาขา),ต.ห้วยทับมอญ อ.เขาชะเมา จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
คลองน้ำใส,ต.ท่าช้าง อ.เมืองจันทบุรี จ.จันทบุรี 22000,เขตพื้นที่การศึกษาจันทบุรี เขต 1
คลองกะพง,ต.เขาบายศรี อ.ท่าใหม่ จ.จันทบุรี 22000,เขตพื้นที่การศึกษาจันทบุรี เขต 1
คลองตาคง,ต.โป่งน้ำร้อน อ.โป่งน้ำร้อน จ.จันทบุรี 22140,เขตพื้นที่การศึกษาจันทบุรี เขต 2
คลองคต,ต.หนองตาคง อ.โป่งน้ำร้อน จ.จันทบุรี 22140,เขตพื้นที่การศึกษาจันทบุรี เขต 2
คลองบอน,ต.หนองตาคง อ.โป่งน้ำร้อน จ.จันทบุรี 22140,เขตพื้นที่การศึกษาจันทบุรี เขต 2
คลองใหญ่,ต.คลองใหญ่ อ.โป่งน้ำร้อน จ.จันทบุรี 22140,เขตพื้นที่การศึกษาจันทบุรี เขต 2
คลองกลอยมิตรภาพที่ 82,ต.ปากน้ำแหลมสิงห์ อ.แหลมสิงห์ จ.จันทบุรี 22130,เขตพื้นที่การศึกษาจันทบุรี เขต 2
คลองใหญ่,ต.เกาะเปริด อ.แหลมสิงห์ จ.จันทบุรี 22130,เขตพื้นที่การศึกษาจันทบุรี เขต 2
คลองครก,ต.พวา อ.แก่งหางแมว จ.จันทบุรี 22160,เขตพื้นที่การศึกษาจันทบุรี เขต 1
คลองน้ำเป็น,ต.พลวง อ.เขาคิชฌกูฏ จ.จันทบุรี 22210,เขตพื้นที่การศึกษาจันทบุรี เขต 2
คลองประทุน,ต.แหลมกลัด อ.เมืองตราด จ.ตราด 23000,เขตพื้นที่การศึกษาตราด เขต 1
คลองจาก,ต.คลองใหญ่ อ.คลองใหญ่ จ.ตราด 23110,เขตพื้นที่การศึกษาตราด เขต 1
คลองมะนาว,ต.ไม้รูด อ.คลองใหญ่ จ.ตราด 23110,เขตพื้นที่การศึกษาตราด เขต 1
คลองมะขาม,ต.หาดเล็ก อ.คลองใหญ่ จ.ตราด 23110,เขตพื้นที่การศึกษาตราด เขต 1
คลองศอก(เพิ่มประชาราษฎร์อุปถัมภ์),ต.ท่าโสม อ.เขาสมิง จ.ตราด 23130,เขตพื้นที่การศึกษาตราด เขต 1
คลองแอ่ง,ต.บ่อพลอย อ.บ่อไร่ จ.ตราด 23140,เขตพื้นที่การศึกษาตราด เขต 1
คลองใหญ่,ต.คลองใหญ่ อ.แหลมงอบ จ.ตราด 23120,เขตพื้นที่การศึกษาตราด เขต 1
คลองเจ้า,ต.เกาะกูด อ.เกาะกูด จ.ตราด 23000,เขตพื้นที่การศึกษาตราด เขต 1
คลองพร้าว,ต.เกาะช้าง อ.เกาะช้าง จ.ตราด 23170,เขตพื้นที่การศึกษาตราด เขต 1
คลองเจ้า,ต.คลองหลวงแพ่ง อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
คลอง 21,ต.ดอนเกาะกา อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา 24170,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
คลองยายสร้อย,ต.ทุ่งพระยา อ.สนามชัยเขต จ.ฉะเชิงเทรา 24160,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
คลองอุดม,ต.ทุ่งพระยา อ.สนามชัยเขต จ.ฉะเชิงเทรา 24160,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
คลองสอง,ต.แปลงยาว อ.แปลงยาว จ.ฉะเชิงเทรา 24190,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
คลองระกำ,ต.วังตะเคียน อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
คลองร่วม สพป.ปราจีนบุรี เขต2,ต.ลาดตะเคียน อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 2
คลองอุดม,ต.หนองกี่ อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
คลองเจ้าแรง,ต.เขาไม้แก้ว อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
คลองตามั่น,ต.เขาไม้แก้ว อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
คลองหันแดง,ต.วังท่าช้าง อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
คลองสิบสอง,ต.วังท่าช้าง อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 2
คลองตาหมื่น,ต.ทุ่งโพธิ์ อ.นาดี จ.ปราจีนบุรี 25220,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
คลองมะไฟ,ต.แก่งดินสอ อ.นาดี จ.ปราจีนบุรี 25220,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
คลองสอง (ราษฎร์บำรุง),ต.บ้านสร้าง อ.บ้านสร้าง จ.ปราจีนบุรี 25150,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
คลองบางไซ,ต.บางพลวง อ.บ้านสร้าง จ.ปราจีนบุรี 25150,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
คลองสารภี,ต.บางพลวง อ.บ้านสร้าง จ.ปราจีนบุรี 25150,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
คลองแก้มช้ำ,ต.โพธิ์งาม อ.ประจันตคาม จ.ปราจีนบุรี 25130,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
คลอง 3 (ดรุณศึกษา),ต.ดอนยอ อ.เมืองนครนายก จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
คลอง 3 วิทยา(ประชาสามัคคี),ต.ดอนยอ อ.เมืองนครนายก จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
คลอง 31,ต.บ้านพริก อ.บ้านนา จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
คลอง 33,ต.บ้านพริก อ.บ้านนา จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
คลอง 30,ต.ทองหลาง อ.บ้านนา จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
คลองหกวา,ต.พระอาจารย์ อ.องครักษ์ จ.นครนายก 26120,เขตพื้นที่การศึกษานครนายก เขต 1
คลอง 22(อาจเอิบจิตรอุปถัมภ์),ต.ศีรษะกระบือ อ.องครักษ์ จ.นครนายก 26160,เขตพื้นที่การศึกษานครนายก เขต 1
คลอง 23,ต.ศีรษะกระบือ อ.องครักษ์ จ.นครนายก 26120,เขตพื้นที่การศึกษานครนายก เขต 1
คลอง 24,ต.ศีรษะกระบือ อ.องครักษ์ จ.นครนายก 26160,เขตพื้นที่การศึกษานครนายก เขต 1
คลอง 1,ต.ทรายมูล อ.องครักษ์ จ.นครนายก 26160,เขตพื้นที่การศึกษานครนายก เขต 1
คลอง 14,ต.ชุมพล อ.องครักษ์ จ.นครนายก 26120,เขตพื้นที่การศึกษานครนายก เขต 1
คลองใหญ่,ต.คลองใหญ่ อ.องครักษ์ จ.นครนายก 26160,เขตพื้นที่การศึกษานครนายก เขต 1
คลองหมี,ต.สระแก้ว อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองหมากนัด,ต.บ้านแก้ง อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองสำอางค์,ต.ศาลาลำดวน อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองน้ำใส,ต.โคกปี่ฆ้อง อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองน้ำเขียว,ต.ท่าแยก อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองปลาโด,ต.ท่าแยก อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองผักขม,ต.ท่าแยก อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองศรีเมือง,ต.ท่าแยก อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองอุดมสุข,ต.ท่าเกษม อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองคันฉอ,ต.สระขวัญ อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองมะละกอ,ต.สระขวัญ อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองบุหรี่,ต.หนองบอน อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองหาด,ต.คลองหาด อ.คลองหาด จ.สระแก้ว 27260,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองหาด สาขาบ้านเขาช่องแคบ,ต.คลองหาด อ.คลองหาด จ.สระแก้ว 27260,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองไก่เถื่อน,ต.คลองไก่เถื่อน อ.คลองหาด จ.สระแก้ว 27260,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองหินปูน,ต.คลองหินปูน อ.วังน้ำเย็น จ.สระแก้ว 27210,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองใหญ่,ต.ทุ่งมหาเจริญ อ.วังน้ำเย็น จ.สระแก้ว 27210,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองมะนาว,ต.ท่าเกวียน อ.วัฒนานคร จ.สระแก้ว 27160,เขตพื้นที่การศึกษาสระแก้ว เขต 2
คลองยางประชาสรรค์,ต.อรัญประเทศ อ.อรัญประเทศ จ.สระแก้ว 27120,เขตพื้นที่การศึกษาสระแก้ว เขต 2
คลองหว้า,ต.ทับพริก อ.อรัญประเทศ จ.สระแก้ว 27120,เขตพื้นที่การศึกษาสระแก้ว เขต 2
คลองวัว,ต.คลองทับจันทร์ อ.อรัญประเทศ จ.สระแก้ว 27120,เขตพื้นที่การศึกษาสระแก้ว เขต 2
คลองเจริญ,ต.หนองหว้า อ.เขาฉกรรจ์ จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองธรรมชาติ,ต.หนองหว้า อ.เขาฉกรรจ์ จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองนางาม,ต.หนองหว้า อ.เขาฉกรรจ์ จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองสิบสาม,ต.เขาสามสิบ อ.เขาฉกรรจ์ จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองทราย,ต.วังสมบูรณ์ อ.วังสมบูรณ์ จ.สระแก้ว 27250,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองยายอินทร์,ต.วังทอง อ.วังสมบูรณ์ จ.สระแก้ว 27250,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองอุดม,ต.วังทอง อ.วังสมบูรณ์ จ.สระแก้ว 27250,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คนชุม,ต.ปรุใหญ่ อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,เขตพื้นที่การศึกษานครราชสีมา เขต 1
คลองยาง(มูลบนอุปถัมภ์),ต.จระเข้หิน อ.ครบุรี จ.นครราชสีมา 30250,เขตพื้นที่การศึกษานครราชสีมา เขต 3
ครบุรีนครธรรมโฆสิตวิทยาคาร,ต.ครบุรีใต้ อ.ครบุรี จ.นครราชสีมา 30250,เขตพื้นที่การศึกษานครราชสีมา เขต 3
คอนเมือง,ต.เทพาลัย อ.คง จ.นครราชสีมา 30260,เขตพื้นที่การศึกษานครราชสีมา เขต 6
คลองกลาง,ต.พลับพลา อ.โชคชัย จ.นครราชสีมา 30190,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ค่ายทะยิง,ต.หินดาด อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
คลองแค,ต.โนนเมืองพัฒนา อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ค้างพลู,ต.ค้างพลู อ.โนนไทย จ.นครราชสีมา 30220,เขตพื้นที่การศึกษานครราชสีมา เขต 5
คอนน้อย,ต.ด่านคล้า อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
คอหงษ์,ต.ลำคอหงษ์ อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
คล้าโนนคราม,ต.เมืองปราสาท อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
คู(ประชาอุปถัมภ์),ต.ขามสะแกแสง อ.ขามสะแกแสง จ.นครราชสีมา 30290,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ครึมม่วง,ต.โนนเมือง อ.ขามสะแกแสง จ.นครราชสีมา 30290,เขตพื้นที่การศึกษานครราชสีมา เขต 5
คูเมือง,ต.เมืองเกษตร อ.ขามสะแกแสง จ.นครราชสีมา 30290,เขตพื้นที่การศึกษานครราชสีมา เขต 5
คูขาด,ต.หนองบัวสะอาด อ.บัวใหญ่ จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
คึมหญ้านาง,ต.วังไม้แดง อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
คลองสาริกา,ต.ตะขบ อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
คลองเตย,ต.สะแกราช อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
คลองซับน้อยสามัคคี,ต.ลำนางแก้ว อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
คล้า,ต.สัมฤทธิ์ อ.พิมาย จ.นครราชสีมา 30110,เขตพื้นที่การศึกษานครราชสีมา เขต 7
คลองตะแบก,ต.ลาดบัวขาว อ.สีคิ้ว จ.นครราชสีมา 30340,เขตพื้นที่การศึกษานครราชสีมา เขต 4
คลองมะค่าหิน,ต.วังกะทะ อ.ปากช่อง จ.นครราชสีมา 30130,เขตพื้นที่การศึกษานครราชสีมา เขต 4
คลองดินดำ,ต.หมูสี อ.ปากช่อง จ.นครราชสีมา 30130,เขตพื้นที่การศึกษานครราชสีมา เขต 4
คลองเดื่อ,ต.หมูสี อ.ปากช่อง จ.นครราชสีมา 30130,เขตพื้นที่การศึกษานครราชสีมา เขต 4
คลองเสือ,ต.หมูสี อ.ปากช่อง จ.นครราชสีมา 30130,เขตพื้นที่การศึกษานครราชสีมา เขต 4
คลองยาง,ต.หนองสาหร่าย อ.ปากช่อง จ.นครราชสีมา 30130,เขตพื้นที่การศึกษานครราชสีมา เขต 4
คลองสารเพชร,ต.หนองหัวแรต อ.หนองบุนนาก จ.นครราชสีมา 30410,เขตพื้นที่การศึกษานครราชสีมา เขต 2
คลองทราย,ต.วังน้ำเขียว อ.วังน้ำเขียว จ.นครราชสีมา 30370,เขตพื้นที่การศึกษานครราชสีมา เขต 3
คลองทุเรียน,ต.วังน้ำเขียว อ.วังน้ำเขียว จ.นครราชสีมา 30370,เขตพื้นที่การศึกษานครราชสีมา เขต 3
คลองบง,ต.วังน้ำเขียว อ.วังน้ำเขียว จ.นครราชสีมา 30370,เขตพื้นที่การศึกษานครราชสีมา เขต 3
คลองใบพัด,ต.วังหมี อ.วังน้ำเขียว จ.นครราชสีมา 30370,เขตพื้นที่การศึกษานครราชสีมา เขต 3
คลองสะท้อน,ต.วังหมี อ.วังน้ำเขียว จ.นครราชสีมา 30370,เขตพื้นที่การศึกษานครราชสีมา เขต 3
คลองกุ่ม,ต.ระเริง อ.วังน้ำเขียว จ.นครราชสีมา 30370,เขตพื้นที่การศึกษานครราชสีมา เขต 3
คลองหินร่อง,ต.ระเริง อ.วังน้ำเขียว จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
คลองขามป้อม,ต.วังยายทอง อ.เทพารักษ์ จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ครบุรีศึกษา,ต.ละหานปลาค้าว อ.เมืองยาง จ.นครราชสีมา 30270,เขตพื้นที่การศึกษานครราชสีมา เขต 7
คึมมะอุ,ต.หนองหว้า อ.บัวลาย จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
คูบอน,ต.คูเมือง อ.คูเมือง จ.บุรีรัมย์ 31190,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
คูบัว,ต.หินเหล็กไฟ อ.คูเมือง จ.บุรีรัมย์ 31190,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
คอกควาย (สันติภาพคุรุราษฎร์พัฒนา),ต.นางรอง อ.นางรอง จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
คูขาดน้อย,ต.ท่าโพธิ์ชัย อ.หนองกี่ จ.บุรีรัมย์ 31210,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
คูณสระแก้ว (วิชานนท์ประชานุกูล),ต.บ้านเป้า อ.พุทไธสง จ.บุรีรัมย์ 31120,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
คูขาด,ต.สตึก อ.สตึก จ.บุรีรัมย์ 31150,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
คู (คุรุศิษย์วิทยาคาร),ต.บ้านคู อ.นาโพธิ์ จ.บุรีรัมย์ 31230,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
คลองโป่ง,ต.ลำนางรอง อ.โนนดินแดง จ.บุรีรัมย์ 31260,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
คลองหิน,ต.ลำนางรอง อ.โนนดินแดง จ.บุรีรัมย์ 31260,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
คอโค,ต.คอโค อ.เมืองสุรินทร์ จ.สุรินทร์ 32000,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
คาบ,ต.เทนมีย์ อ.เมืองสุรินทร์ จ.สุรินทร์ 32000,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
คลอง,ต.ปรือ อ.ปราสาท จ.สุรินทร์ 32140,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
คูตัน,ต.คูตัน อ.กาบเชิง จ.สุรินทร์ 32210,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
คอนสวรรค์,ต.ไผ่ อ.รัตนบุรี จ.สุรินทร์ 32130,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
คาละแมะ,ต.คาละแมะ อ.ศีขรภูมิ จ.สุรินทร์ 32110,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
คะนา,ต.ตาตุม อ.สังขะ จ.สุรินทร์ 32150,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
ค้อ,ต.หนองฮะ อ.สำโรงทาบ จ.สุรินทร์ 32170,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
คูขาด,ต.หนองแวง อ.ศรีณรงค์ จ.สุรินทร์ 32150,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
คำผง,ต.คำผง อ.โนนนารายณ์ จ.สุรินทร์ 0,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ค้อ,ต.ระเวียง อ.โนนนารายณ์ จ.สุรินทร์ 32130,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
คูซอด,ต.คูซอด อ.เมืองศรีสะเกษ จ.ศรีสะเกษ 33000,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
คอนกาม,ต.คอนกาม อ.ยางชุมน้อย จ.ศรีสะเกษ 33000,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
ค้อเมืองแสน,ต.คอนกาม อ.ยางชุมน้อย จ.ศรีสะเกษ 33190,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
คล้อ มิตรภาพที่ 226,ต.ดู่ อ.กันทรารมย์ จ.ศรีสะเกษ 33130,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
คำเนียม(คำเนียมวิทยาคาร),ต.คำเนียม อ.กันทรารมย์ จ.ศรีสะเกษ 33130,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
คำเผีอ,ต.โสน อ.ขุขันธ์ จ.ศรีสะเกษ 33140,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
