หนองบอน (นัยนานนท์อนุสรณ์),แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
หนองเสมา,ต.บ่อทอง อ.หนองม่วง จ.ลพบุรี 15170,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองสำราญ,ต.ดงดินแดง อ.หนองม่วง จ.ลพบุรี 15170,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองกลาง,ต.ชอนสมบูรณ์ อ.หนองม่วง จ.ลพบุรี 15170,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองขาม,ต.ชอนสมบูรณ์ อ.หนองม่วง จ.ลพบุรี 15170,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองไทร,ต.ชอนสมบูรณ์ อ.หนองม่วง จ.ลพบุรี 15170,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองไก่ห้าว,ต.ยางโทน อ.หนองม่วง จ.ลพบุรี 15170,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองตะแบก,ต.ยางโทน อ.หนองม่วง จ.ลพบุรี 15170,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองลีวิทยาคม,ต.โพทะเล อ.ค่ายบางระจัน จ.สิงห์บุรี 16150,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
หัวดง,ต.ท่างาม อ.อินทร์บุรี จ.สิงห์บุรี 16110,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
หนองแค,ต.นางลือ อ.เมืองชัยนาท จ.ชัยนาท 17000,เขตพื้นที่การศึกษาชัยนาท เขต 1
หางน้ำหนองแขม(โออุปถัมภ์),ต.ท่าฉนวน อ.มโนรมย์ จ.ชัยนาท 17110,เขตพื้นที่การศึกษาชัยนาท เขต 1
หนองมะขาม(สวัสดิ์ศานุสรณ์),ต.ไร่พัฒนา อ.มโนรมย์ จ.ชัยนาท 17170,เขตพื้นที่การศึกษาชัยนาท เขต 1
หัวถนน,ต.ไร่พัฒนา อ.มโนรมย์ จ.ชัยนาท 17170,เขตพื้นที่การศึกษาชัยนาท เขต 1
หนองขุ่นมิตรภาพที่ 136,ต.หนองขุ่น อ.วัดสิงห์ จ.ชัยนาท 17120,เขตพื้นที่การศึกษาชัยนาท เขต 1
หนองต่อ,ต.หันคา อ.หันคา จ.ชัยนาท 17130,เขตพื้นที่การศึกษาชัยนาท เขต 1
หนองอ้ายสาม,ต.ไพรนกยูง อ.หันคา จ.ชัยนาท 17130,เขตพื้นที่การศึกษาชัยนาท เขต 1
หมื่นเทพ,ต.ห้วยงู อ.หันคา จ.ชัยนาท 17000,เขตพื้นที่การศึกษาชัยนาท เขต 1
หนองแจง,ต.เด่นใหญ่ อ.หันคา จ.ชัยนาท 17130,เขตพื้นที่การศึกษาชัยนาท เขต 1
หนองตะขบ,ต.หนองมะโมง อ.หนองมะโมง จ.ชัยนาท 17120,เขตพื้นที่การศึกษาชัยนาท เขต 1
หนองหวาย,ต.วังตะเคียน อ.หนองมะโมง จ.ชัยนาท 17120,เขตพื้นที่การศึกษาชัยนาท เขต 1
หนองเด่น,ต.สุขเดือนห้า อ.เนินขาม จ.ชัยนาท 17130,เขตพื้นที่การศึกษาชัยนาท เขต 1
หนองยาง,ต.สุขเดือนห้า อ.เนินขาม จ.ชัยนาท 17140,เขตพื้นที่การศึกษาชัยนาท เขต 1
หนองผักบุ้ง,ต.ทับกวาง อ.แก่งคอย จ.สระบุรี 18260,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองสองห้อง,ต.ห้วยแห้ง อ.แก่งคอย จ.สระบุรี 18110,เขตพื้นที่การศึกษาสระบุรี เขต 2
หินซ้อน,ต.หินซ้อน อ.แก่งคอย จ.สระบุรี 18110,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองจิก(บริษัทข้าวไทยจำกัดสงเคราะห์),ต.ห้วยขมิ้น อ.หนองแค จ.สระบุรี 18230,เขตพื้นที่การศึกษาสระบุรี เขต 2
หัวถนน,ต.หนองหมู อ.วิหารแดง จ.สระบุรี 18150,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองบัว(ประชาสงเคราะห์),ต.หนองบัว อ.บ้านหมอ จ.สระบุรี 18130,เขตพื้นที่การศึกษาสระบุรี เขต 1
หลังสวนประชาสามัคคี,ต.บ้านกลับ อ.หนองโดน จ.สระบุรี 18190,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองใหญ่,ต.พุคำจาน อ.พระพุทธบาท จ.สระบุรี 18200,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองกะเบา,ต.หัวปลวก อ.เสาไห้ จ.สระบุรี 18160,เขตพื้นที่การศึกษาสระบุรี เขต 1
หลังเขา,ต.มวกเหล็ก อ.มวกเหล็ก จ.สระบุรี 18180,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองผักหนอก,ต.หนองย่างเสือ อ.มวกเหล็ก จ.สระบุรี 18180,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองมะค่า,ต.หนองย่างเสือ อ.มวกเหล็ก จ.สระบุรี 18180,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองตอตะเคียน,ต.ลำพญากลาง อ.มวกเหล็ก จ.สระบุรี 18180,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองโป่ง,ต.ลำพญากลาง อ.มวกเหล็ก จ.สระบุรี 18180,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองเอี่ยว,ต.ลำพญากลาง อ.มวกเหล็ก จ.สระบุรี 18180,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองกรดสามัคคี,ต.แสลงพัน อ.วังม่วง จ.สระบุรี 18220,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองจาน,ต.หน้าพระลาน อ.เฉลิมพระเกียรติ จ.สระบุรี 18160,เขตพื้นที่การศึกษาสระบุรี เขต 1
ห้วยหินขาวมิตรภาพที่ 213,ต.ผึ้งรวง อ.เฉลิมพระเกียรติ จ.สระบุรี 18000,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองตะโก,ต.บ้านสวน อ.เมืองชลบุรี จ.ชลบุรี 20000,เขตพื้นที่การศึกษาชลบุรี เขต 1
หัวโกรก,ต.หนองรี อ.เมืองชลบุรี จ.ชลบุรี 20000,เขตพื้นที่การศึกษาชลบุรี เขต 1
ห้วยสาลิกา,ต.หนองไม้แดง อ.เมืองชลบุรี จ.ชลบุรี 20000,เขตพื้นที่การศึกษาชลบุรี เขต 1
ห้วยกะปิ,ต.ห้วยกะปิ อ.เมืองชลบุรี จ.ชลบุรี 20000,เขตพื้นที่การศึกษาชลบุรี เขต 1
หนองปลาไหล,ต.บ้านบึง อ.บ้านบึง จ.ชลบุรี 20170,เขตพื้นที่การศึกษาชลบุรี เขต 1
ห้วยมะไฟ,ต.บ้านบึง อ.บ้านบึง จ.ชลบุรี 20170,เขตพื้นที่การศึกษาชลบุรี เขต 1
หมื่นจิต,ต.คลองกิ่ว อ.บ้านบึง จ.ชลบุรี 20220,เขตพื้นที่การศึกษาชลบุรี เขต 1
ห้วยยาง(สุภาพสามัคคีราษฎร),ต.มาบไผ่ อ.บ้านบึง จ.ชลบุรี 20170,เขตพื้นที่การศึกษาชลบุรี เขต 1
หนองซ้ำซาก,ต.หนองซ้ำซาก อ.บ้านบึง จ.ชลบุรี 20170,เขตพื้นที่การศึกษาชลบุรี เขต 1
หนองเขิน,ต.หนองชาก อ.บ้านบึง จ.ชลบุรี 20170,เขตพื้นที่การศึกษาชลบุรี เขต 1
หนองชาก(ประโยชน์บุพการีอุทิศ),ต.หนองชาก อ.บ้านบึง จ.ชลบุรี 20170,เขตพื้นที่การศึกษาชลบุรี เขต 1
หนองปรือ,ต.หนองไผ่แก้ว อ.บ้านบึง จ.ชลบุรี 20220,เขตพื้นที่การศึกษาชลบุรี เขต 1
หนองไผ่แก้ว,ต.หนองไผ่แก้ว อ.บ้านบึง จ.ชลบุรี 20170,เขตพื้นที่การศึกษาชลบุรี เขต 1
หนองผักหนาม,ต.หนองใหญ่ อ.หนองใหญ่ จ.ชลบุรี 20190,เขตพื้นที่การศึกษาชลบุรี เขต 1
หนองเสือช้าง,ต.หนองเสือช้าง อ.หนองใหญ่ จ.ชลบุรี 20190,เขตพื้นที่การศึกษาชลบุรี เขต 1
ห้วยมะระ,ต.หนองเสือช้าง อ.หนองใหญ่ จ.ชลบุรี 20190,เขตพื้นที่การศึกษาชลบุรี เขต 1
หนองประดู่,ต.ห้างสูง อ.หนองใหญ่ จ.ชลบุรี 20190,เขตพื้นที่การศึกษาชลบุรี เขต 1
ห้างสูง(เกตุวัตถาประชานุเคราะห์),ต.ห้างสูง อ.หนองใหญ่ จ.ชลบุรี 20190,เขตพื้นที่การศึกษาชลบุรี เขต 1
ห้วยไข่เน่า,ต.เขาไม้แก้ว อ.บางละมุง จ.ชลบุรี 20150,เขตพื้นที่การศึกษาชลบุรี เขต 3
หนองชากแง้ว,ต.ห้วยใหญ่ อ.บางละมุง จ.ชลบุรี 20260,เขตพื้นที่การศึกษาชลบุรี เขต 3
ห้วยตากด้าย,ต.หนองตำลึง อ.พานทอง จ.ชลบุรี 20160,เขตพื้นที่การศึกษาชลบุรี เขต 2
หนองไผ่,ต.หนองปรือ อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
หนองพรหม,ต.หมอนนาง อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
หนองยาง,ต.หมอนนาง อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
หนองขยาด,ต.หนองขยาด อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
หนองหัวหมู(บำรุงราษฎร์อุปถัมภ์),ต.ทุ่งขวาง อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
หนองข่า,ต.หนองเหียง อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
หนองไผ่แก้ว,ต.หนองเหียง อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
หนองสองห้อง,ต.นาวังหิน อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
หนองปรือ,ต.บึง อ.ศรีราชา จ.ชลบุรี 20230,เขตพื้นที่การศึกษาชลบุรี เขต 3
หุบบอน,ต.เขาคันทรง อ.ศรีราชา จ.ชลบุรี 20110,เขตพื้นที่การศึกษาชลบุรี เขต 3
ห้วยกรุ,ต.บางพระ อ.ศรีราชา จ.ชลบุรี 20110,เขตพื้นที่การศึกษาชลบุรี เขต 3
ห้วยกุ่ม(ประสานราษฎร์วิทยา),ต.บางพระ อ.ศรีราชา จ.ชลบุรี 20210,เขตพื้นที่การศึกษาชลบุรี เขต 3
หินวง,ต.นาจอมเทียน อ.สัตหีบ จ.ชลบุรี 20250,เขตพื้นที่การศึกษาชลบุรี เขต 3
หนองใหญ่(คุรุราษฏร์อุปถัมภ์),ต.บ่อทอง อ.บ่อทอง จ.ชลบุรี 20270,เขตพื้นที่การศึกษาชลบุรี เขต 2
หนองเกตุ,ต.บ่อกวางทอง อ.บ่อทอง จ.ชลบุรี 20270,เขตพื้นที่การศึกษาชลบุรี เขต 2
หนองยายเภา,ต.บ่อกวางทอง อ.บ่อทอง จ.ชลบุรี 20270,เขตพื้นที่การศึกษาชลบุรี เขต 2
หนองเสม็ด,ต.บ่อกวางทอง อ.บ่อทอง จ.ชลบุรี 20270,เขตพื้นที่การศึกษาชลบุรี เขต 2
หนองชุมเห็ด(ประจวบอุปถัมภ์),ต.เกาะจันทร์ อ.เกาะจันทร์ จ.ชลบุรี 20240,เขตพื้นที่การศึกษาชลบุรี เขต 2
หนองยายหมาด,ต.เกาะจันทร์ อ.เกาะจันทร์ จ.ชลบุรี 20240,เขตพื้นที่การศึกษาชลบุรี เขต 2
ห้วยหวาย,ต.ท่าบุญมี อ.เกาะจันทร์ จ.ชลบุรี 20240,เขตพื้นที่การศึกษาชลบุรี เขต 2
หนองจอก,ต.เชิงเนิน อ.เมืองระยอง จ.ระยอง 21000,เขตพื้นที่การศึกษาระยอง เขต 1
หนองแฟบ,ต.มาบตาพุด อ.เมืองระยอง จ.ระยอง 21150,เขตพื้นที่การศึกษาระยอง เขต 1
หนองน้ำขุ่น,ต.วังหว้า อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
ห้วงหิน,ต.บ้านนา อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
หนองไทร,ต.ทุ่งควายกิน อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
หนองคุย,ต.กองดิน อ.แกลง จ.ระยอง 21160,เขตพื้นที่การศึกษาระยอง เขต 2
ห้วยยาง,ต.ห้วยยาง อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
หนองม่วง,ต.ชุมแสง อ.วังจันทร์ จ.ระยอง 21210,เขตพื้นที่การศึกษาระยอง เขต 2
หนองละลอก,ต.หนองละลอก อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
หนองสะพาน,ต.หนองตะพาน อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
หลังเขา,ต.บางบุตร อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
หนองฆ้อ,ต.หนองบัว อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
หินโค่งประชานุเคราะห์,ต.หนองบัว อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
หนองบอน,ต.ตาสิทธิ์ อ.ปลวกแดง จ.ระยอง 21140,เขตพื้นที่การศึกษาระยอง เขต 1
หมอมุ่ย,ต.ละหาร อ.ปลวกแดง จ.ระยอง 21140,เขตพื้นที่การศึกษาระยอง เขต 1
หนองมะปริง,ต.แม่น้ำคู้ อ.ปลวกแดง จ.ระยอง 21140,เขตพื้นที่การศึกษาระยอง เขต 1
ห้วยปราบ,ต.มาบยางพร อ.ปลวกแดง จ.ระยอง 21140,เขตพื้นที่การศึกษาระยอง เขต 1
หนองไร่,ต.หนองไร่ อ.ปลวกแดง จ.ระยอง 21140,เขตพื้นที่การศึกษาระยอง เขต 1
ห้วยทับมอญ,ต.ห้วยทับมอญ อ.เขาชะเมา จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
หนองระกำ,ต.พนานิคม อ.นิคมพัฒนา จ.ระยอง 21180,เขตพื้นที่การศึกษาระยอง เขต 1
หนองระหาน(สามัคคีพลาคาร),ต.บ่อ อ.ขลุง จ.จันทบุรี 22110,เขตพื้นที่การศึกษาจันทบุรี เขต 2
หนองเสม็ด(ประจงวิทยาคาร),ต.ตะปอน อ.ขลุง จ.จันทบุรี 22110,เขตพื้นที่การศึกษาจันทบุรี เขต 2
หนองบอน,ต.คลองใหญ่ อ.โป่งน้ำร้อน จ.จันทบุรี 22140,เขตพื้นที่การศึกษาจันทบุรี เขต 2
หนองสลุด,ต.ปัถวี อ.มะขาม จ.จันทบุรี 22150,เขตพื้นที่การศึกษาจันทบุรี เขต 2
หนองบัวทอง,ต.แก่งหางแมว อ.แก่งหางแมว จ.จันทบุรี 22160,เขตพื้นที่การศึกษาจันทบุรี เขต 1
หนองเจ๊กสร้อย,ต.เขาวงกต อ.แก่งหางแมว จ.จันทบุรี 22160,เขตพื้นที่การศึกษาจันทบุรี เขต 1
หนองหงส์,ต.สนามไชย อ.นายายอาม จ.จันทบุรี 22170,เขตพื้นที่การศึกษาจันทบุรี เขต 1
หนองม่วง,ต.ไม้รูด อ.คลองใหญ่ จ.ตราด 23110,เขตพื้นที่การศึกษาตราด เขต 1
หาดเล็ก,ต.หาดเล็ก อ.คลองใหญ่ จ.ตราด 23110,เขตพื้นที่การศึกษาตราด เขต 1
ห้วงพัฒนา,ต.แสนตุ้ง อ.เขาสมิง จ.ตราด 23150,เขตพื้นที่การศึกษาตราด เขต 1
หนองบัว,ต.สะตอ อ.เขาสมิง จ.ตราด 23150,เขตพื้นที่การศึกษาตราด เขต 1
หนองแฟบ,ต.ช้างทูน อ.บ่อไร่ จ.ตราด 23140,เขตพื้นที่การศึกษาตราด เขต 1
หนองบอน,ต.หนองบอน อ.บ่อไร่ จ.ตราด 23140,เขตพื้นที่การศึกษาตราด เขต 0
หนองโสน,ต.เสม็ดใต้ อ.บางคล้า จ.ฉะเชิงเทรา 24110,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หนองอีโถน,ต.เกาะขนุน อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ห้วยพลู,ต.เกาะขนุน อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หนองสองห้อง,ต.บ้านซ่อง อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หนองหว้า,ต.บ้านซ่อง อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หนองกลางดง,ต.เขาหินซ้อน อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หนองแสง,ต.เขาหินซ้อน อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หนองเหียง,ต.เขาหินซ้อน อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ห้วยหิน,ต.เขาหินซ้อน อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หนองยาง,ต.คู้ยายหมี อ.สนามชัยเขต จ.ฉะเชิงเทรา 24160,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ห้วยน้ำใส,ต.คู้ยายหมี อ.สนามชัยเขต จ.ฉะเชิงเทรา 24160,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หินแร่,ต.ท่ากระดาน อ.สนามชัยเขต จ.ฉะเชิงเทรา 24160,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หนองใหญ่,ต.ทุ่งพระยา อ.สนามชัยเขต จ.ฉะเชิงเทรา 24160,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ห้วยน้ำทรัพย์,ต.ลาดกระทิง อ.สนามชัยเขต จ.ฉะเชิงเทรา 24160,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ห้วยหิน,ต.ลาดกระทิง อ.สนามชัยเขต จ.ฉะเชิงเทรา 24160,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หนองสทิต,ต.หัวสำโรง อ.แปลงยาว จ.ฉะเชิงเทรา 24190,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หนองน้ำขาวเจริญราษฎร์,ต.หนองไม้แก่น อ.แปลงยาว จ.ฉะเชิงเทรา 24190,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หนองปลาไหลราษฎร์บำรุง,ต.หนองไม้แก่น อ.แปลงยาว จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หนองประโยชน์,ต.ท่าตะเกียบ อ.ท่าตะเกียบ จ.ฉะเชิงเทรา 24160,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หนองปรือกันยาง,ต.ท่าตะเกียบ อ.ท่าตะเกียบ จ.ฉะเชิงเทรา 24160,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หนองปลาซิว,ต.ท่าตะเกียบ อ.ท่าตะเกียบ จ.ฉะเชิงเทรา 24160,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หนองขาหยั่ง,ต.คลองตะเกรา อ.ท่าตะเกียบ จ.ฉะเชิงเทรา 24160,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หนองคอก,ต.คลองตะเกรา อ.ท่าตะเกียบ จ.ฉะเชิงเทรา 24160,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ห้วยตะปอก,ต.คลองตะเกรา อ.ท่าตะเกียบ จ.ฉะเชิงเทรา 24160,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หัวเขา,ต.บ้านพระ อ.เมืองปราจีนบุรี จ.ปราจีนบุรี 25000,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองชะอม,ต.โคกไม้ลาย อ.เมืองปราจีนบุรี จ.ปราจีนบุรี 25230,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองเต่า,ต.เนินหอม อ.เมืองปราจีนบุรี จ.ปราจีนบุรี 25000,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
ห้วยเกษียร,ต.เนินหอม อ.เมืองปราจีนบุรี จ.ปราจีนบุรี 25230,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
