ผังสามัคคี,ต.หินซ้อน อ.แก่งคอย จ.สระบุรี 18110,เขตพื้นที่การศึกษาสระบุรี เขต 2
ผำ,ต.โคกก่อง อ.สำโรง จ.อุบลราชธานี 34360,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
ผึ้งโดม,ต.แก่งโดม อ.สว่างวีระวงศ์ จ.อุบลราชธานี 34190,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
ผือเหมือดม่วงพัฒนา,ต.ดู่ทุ่ง อ.เมืองยโสธร จ.ยโสธร 35000,เขตพื้นที่การศึกษายโสธร เขต 1
ผือฮีนาลานาจาน,ต.นาสะไมย์ อ.เมืองยโสธร จ.ยโสธร 35000,เขตพื้นที่การศึกษายโสธร เขต 1
ผักกะย่า,ต.โนนเปือย อ.กุดชุม จ.ยโสธร 35140,เขตพื้นที่การศึกษายโสธร เขต 2
ผักบุ้ง,ต.ดงแคนใหญ่ อ.คำเขื่อนแก้ว จ.ยโสธร 35110,เขตพื้นที่การศึกษายโสธร เขต 1
ผือฮี,ต.ผือฮี อ.มหาชนะชัย จ.ยโสธร 35130,เขตพื้นที่การศึกษายโสธร เขต 1
ผิผ่วน,ต.ค้อวัง อ.ค้อวัง จ.ยโสธร 35160,เขตพื้นที่การศึกษายโสธร เขต 1
ผือวิทยายน,ต.กุดตุ้ม อ.เมืองชัยภูมิ จ.ชัยภูมิ 36000,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
ผึ้ง,ต.จานลาน อ.พนา จ.อำนาจเจริญ 37180,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
ผาสุก,ต.หนองกุงแก้ว อ.ศรีบุญเรือง จ.หนองบัวลำภู 39180,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
ผาสุกสาขาผาสวรรค์,ต.หนองกุงแก้ว อ.ศรีบุญเรือง จ.หนองบัวลำภู 39180,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
ผาเสด็จ,ต.หนองกุงแก้ว อ.ศรีบุญเรือง จ.หนองบัวลำภู 39180,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
ผาซ่อนโชคชัย,ต.ดงมะไฟ อ.สุวรรณคูหา จ.หนองบัวลำภู 39270,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 2
ผาเวียง,ต.นาแก อ.นาวัง จ.หนองบัวลำภู 39170,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 2
ผาวัง,ต.วังทอง อ.นาวัง จ.หนองบัวลำภู 39170,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 2
ผือ(สวัสดิ์ราษฎร์วิทยา),ต.พระลับ อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
ผาขาม,ต.บริบูรณ์ อ.สีชมพู จ.ขอนแก่น 40220,เขตพื้นที่การศึกษาขอนแก่น เขต 5
ผาน้ำเที่ยง,ต.บริบูรณ์ อ.สีชมพู จ.ขอนแก่น 40220,เขตพื้นที่การศึกษาขอนแก่น เขต 5
ผักหนาม,ต.หนองกุงใหญ่ อ.กระนวน จ.ขอนแก่น 40170,เขตพื้นที่การศึกษาขอนแก่น เขต 4
ผักหวานโนนสวาง,ต.บ้านลาน อ.บ้านไผ่ จ.ขอนแก่น 40110,เขตพื้นที่การศึกษาขอนแก่น เขต 2
ผักหวาน,ต.หนองปลาหมอ อ.โนนศิลา จ.ขอนแก่น 40110,เขตพื้นที่การศึกษาขอนแก่น เขต 3
ผาสิงห์,ต.หมากหญ้า อ.หนองวัวซอ จ.อุดรธานี,เขตพื้นที่การศึกษาอุดรธานี เขต 1
ผือ,ต.พันดอน อ.กุมภวาปี จ.อุดรธานี,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ผักหวานโนนรังษี,ต.ห้วยเกิ้ง อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ผักตบประชานุกูล,ต.ผักตบ อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
ผาทอง,ต.ผาสุก อ.วังสามหมอ จ.อุดรธานี 41280,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ผือพิทยาสรรค์,ต.บ้านผือ อ.บ้านผือ จ.อุดรธานี 41160,เขตพื้นที่การศึกษาอุดรธานี เขต 4
ผักบุ้ง,ต.กลางใหญ่ อ.บ้านผือ จ.อุดรธานี 41160,เขตพื้นที่การศึกษาอุดรธานี เขต 4
ผากลางนา,ต.สามัคคี อ.น้ำโสม จ.อุดรธานี 41210,เขตพื้นที่การศึกษาอุดรธานี เขต 4
ผากลางดง,ต.ธาตุ อ.เชียงคาน จ.เลย 42110,เขตพื้นที่การศึกษาเลย เขต 1
ผาพอด,ต.ธาตุ อ.เชียงคาน จ.เลย 42110,เขตพื้นที่การศึกษาเลย เขต 1
ผาแบ่น,ต.บุฮม อ.เชียงคาน จ.เลย 42110,เขตพื้นที่การศึกษาเลย เขต 1
ผึ้ง,ต.วังยาว อ.ด่านซ้าย จ.เลย 42120,เขตพื้นที่การศึกษาเลย เขต 1
ผาน้อย,ต.ผาน้อย อ.วังสะพุง จ.เลย 42130,เขตพื้นที่การศึกษาเลย เขต 2
ผาสามยอด,ต.ผานกเค้า อ.ภูกระดึง จ.เลย 42180,เขตพื้นที่การศึกษาเลย เขต 2
ผาฆ้อง,ต.ห้วยส้ม อ.ภูกระดึง จ.เลย 42180,เขตพื้นที่การศึกษาเลย เขต 2
ผาขาว,ต.ผาขาว อ.ผาขาว จ.เลย 42240,เขตพื้นที่การศึกษาเลย เขต 2
ผาซำบอน,ต.ผาอินทร์แปลง อ.เอราวัณ จ.เลย 42220,เขตพื้นที่การศึกษาเลย เขต 2
ผาสะนา,ต.ทรัพย์ไพวัลย์ อ.เอราวัณ จ.เลย 42220,เขตพื้นที่การศึกษาเลย เขต 2
ผาสามยอด,ต.ทรัพย์ไพวัลย์ อ.เอราวัณ จ.เลย 42220,เขตพื้นที่การศึกษาเลย เขต 2
ผือ,ต.บ้านผือ อ.โพนพิสัย จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
ผาตั้ง,ต.ผาตั้ง อ.สังคม จ.หนองคาย 43160,เขตพื้นที่การศึกษาหนองคาย เขต 1
ผักหนอก,ต.ยางน้อย อ.โกสุมพิสัย จ.มหาสารคาม 44140,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ผำ,ต.ดอนเงิน อ.เชียงยืน จ.มหาสารคาม 44160,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ผักแว่น,ต.เหล่าดอกไม้ อ.ชื่นชม จ.มหาสารคาม 44160,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ผือ,ต.หนองกุง อ.ชื่นชม จ.มหาสารคาม 44160,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ผำโนนสว่าง,ต.โนนสว่าง อ.เกษตรวิสัย จ.ร้อยเอ็ด 45150,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ผักกาดหญ้าโรตารี่อุทิศ,ต.นาเลิง อ.เสลภูมิ จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ผักเผ็ดจ้อก้อ,ต.น้ำคำ อ.สุวรรณภูมิ จ.ร้อยเอ็ด,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ผักแว่นอนามัย (คุรุศิษยานุกูล),ต.ผักแว่น อ.จังหาร จ.ร้อยเอ็ด 45270,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ผึ้ง,ต.ไค้นุ่น อ.ห้วยผึ้ง จ.กาฬสินธุ์ 46240,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
ผักคำภู,ต.นาใน อ.พรรณานิคม จ.สกลนคร 47130,เขตพื้นที่การศึกษาสกลนคร เขต 2
ผ้าขาวโพนแพง,ต.ม่วงไข่ อ.พังโคน จ.สกลนคร 47160,เขตพื้นที่การศึกษาสกลนคร เขต 2
ผักตบ,ต.ปลาโหล อ.วาริชภูมิ จ.สกลนคร 47150,เขตพื้นที่การศึกษาสกลนคร เขต 2
ผาศักดิ์ทรัพย์เจริญ,ต.คำตากล้า อ.คำตากล้า จ.สกลนคร 47250,เขตพื้นที่การศึกษาสกลนคร เขต 3
ผึ้งวิทยาคม,ต.บ้านผึ้ง อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
ผึ้ง,ต.บ้านผึ้ง อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
ผักขะย่านาคอยโนนแดง,ต.ยอดชาด อ.วังยาง จ.นครพนม 48130,เขตพื้นที่การศึกษานครพนม เขต 1
ผึ่งแดด,ต.ผึ่งแดด อ.เมืองมุกดาหาร จ.มุกดาหาร 49000,เขตพื้นที่การศึกษามุกดาหาร เขต 1
ผานัง,ต.ท่าผา อ.แม่แจ่ม จ.เชียงใหม่ 50270,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
ผาละปิ,ต.แม่ศึก อ.แม่แจ่ม จ.เชียงใหม่ 50270,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
ผึ้ง,ต.แม่หอพระ อ.แม่แตง จ.เชียงใหม่ 50150,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
ผาหมอน,ต.สบเปิง อ.แม่แตง จ.เชียงใหม่,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
ผาเด็ง,ต.ป่าแป๋ อ.แม่แตง จ.เชียงใหม่,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
ผาแตน,ต.หางดง อ.ฮอด จ.เชียงใหม่ 50240,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
ผาจุก,ต.ดอยเต่า อ.ดอยเต่า จ.เชียงใหม่ 50260,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
ผาปูน,ต.อมก๋อย อ.อมก๋อย จ.เชียงใหม่ 50310,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
ผีปานเหนือ,ต.นาเกียน อ.อมก๋อย จ.เชียงใหม่ 50310,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
ผาแดง,ต.หนองบัว อ.ไชยปราการ จ.เชียงใหม่ 50320,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
ผาตั้ง,ต.ทาสบเส้า อ.แม่ทา จ.ลำพูน 51140,เขตพื้นที่การศึกษาลำพูน เขต 1
ผาลาด,ต.นาทราย อ.ลี้ จ.ลำพูน 51110,เขตพื้นที่การศึกษาลำพูน เขต 2
ผาต้าย,ต.แม่ลาน อ.ลี้ จ.ลำพูน 51110,เขตพื้นที่การศึกษาลำพูน เขต 2
ผาลาด,ต.พระบาท อ.เมืองลำปาง จ.ลำปาง 52000,เขตพื้นที่การศึกษาลำปาง เขต 1
ผาแมว,ต.หัวเสือ อ.แม่ทะ จ.ลำปาง 52150,เขตพื้นที่การศึกษาลำปาง เขต 2
ผักขวง,ต.ผักขวง อ.ทองแสนขัน จ.อุตรดิตถ์ 53230,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
ผารางวังหม้อ(มิตรประชา),ต.ทุ่งศรี อ.ร้องกวาง จ.แพร่ 54140,เขตพื้นที่การศึกษาแพร่ เขต 1
ผาคันวิทยา,ต.บ้านปิน อ.ลอง จ.แพร่ 54150,เขตพื้นที่การศึกษาแพร่ เขต 2
ผามอก(ประชานุเคราะห์),ต.ต้าผามอก อ.ลอง จ.แพร่ 54150,เขตพื้นที่การศึกษาแพร่ เขต 2
ผาจั๊บ,ต.ทุ่งแล้ง อ.ลอง จ.แพร่ 54150,เขตพื้นที่การศึกษาแพร่ เขต 2
ผาสุก(ราษฎร์บำรุง),ต.เวียงทอง อ.สูงเม่น จ.แพร่ 54000,เขตพื้นที่การศึกษาแพร่ เขต 2
ผาขวาง,ต.บ่อ อ.เมืองน่าน จ.น่าน 55000,เขตพื้นที่การศึกษาน่าน เขต 1
ผาตูบ,ต.ผาสิงห์ อ.เมืองน่าน จ.น่าน 55000,เขตพื้นที่การศึกษาน่าน เขต 1
ผาสิงห์,ต.ผาสิงห์ อ.เมืองน่าน จ.น่าน 55000,เขตพื้นที่การศึกษาน่าน เขต 1
ผาเวียง,ต.ภูคา อ.ปัว จ.น่าน 55120,เขตพื้นที่การศึกษาน่าน เขต 2
ผาเวียง,ต.ส้าน อ.เวียงสา จ.น่าน 55110,เขตพื้นที่การศึกษาน่าน เขต 1
ผาน้ำย้อย,ต.พญาแก้ว อ.เชียงกลาง จ.น่าน 55140,เขตพื้นที่การศึกษาน่าน เขต 2
ผักเฮือก,ต.บ่อเกลือใต้ อ.บ่อเกลือ จ.น่าน 55220,เขตพื้นที่การศึกษาน่าน เขต 2
ผาสิงห์,ต.ยอด อ.สองแคว จ.น่าน 55140,เขตพื้นที่การศึกษาน่าน เขต 2
ผาหลัก,ต.ยอด อ.สองแคว จ.น่าน 55160,เขตพื้นที่การศึกษาน่าน เขต 2
ผาช้างมูบ,ต.สันป่าม่วง อ.เมืองพะเยา จ.พะเยา 56000,เขตพื้นที่การศึกษาพะเยา เขต 1
ผาช้างมูบ สาขาบ้านแม่ต๋อมใน,ต.สันป่าม่วง อ.เมืองพะเยา จ.พะเยา 56000,เขตพื้นที่การศึกษาพะเยา เขต 1
ผาลาด,ต.น้ำแวน อ.เชียงคำ จ.พะเยา 56110,เขตพื้นที่การศึกษาพะเยา เขต 2
ผาฮาว,ต.ทุ่งผาสุข อ.เชียงคำ จ.พะเยา 56110,เขตพื้นที่การศึกษาพะเยา เขต 2
ผาตั้ง,ต.ขุนควร อ.ปง จ.พะเยา 56140,เขตพื้นที่การศึกษาพะเยา เขต 2
ผาขวางพัฒนา,ต.แม่ยาว อ.เมืองเชียงราย จ.เชียงราย 57100,เขตพื้นที่การศึกษาเชียงราย เขต 1
ผาขวางพัฒนา สาขาบ้านแคววัวดำ,ต.แม่ยาว อ.เมืองเชียงราย จ.เชียงราย 57000,เขตพื้นที่การศึกษาเชียงราย เขต 1
ผาลั้ง,ต.ห้วยชมภู อ.เมืองเชียงราย จ.เชียงราย 57000,เขตพื้นที่การศึกษาเชียงราย เขต 1
ผาเสริฐ,ต.ดอยฮาง อ.เมืองเชียงราย จ.เชียงราย 57000,เขตพื้นที่การศึกษาเชียงราย เขต 1
ผาฮี้,ต.โป่งงาม อ.แม่สาย จ.เชียงราย 57130,เขตพื้นที่การศึกษาเชียงราย เขต 3
ผาแดงหลวง,ต.วาวี อ.แม่สรวย จ.เชียงราย 57180,เขตพื้นที่การศึกษาเชียงราย เขต 2
ผาแล,ต.ปอ อ.เวียงแก่น จ.เชียงราย 57310,เขตพื้นที่การศึกษาเชียงราย เขต 4
ผาจี,ต.เทอดไทย อ.แม่ฟ้าหลวง จ.เชียงราย 57240,เขตพื้นที่การศึกษาเชียงราย เขต 3
ผาเดื่อ,ต.แม่สลองใน อ.แม่ฟ้าหลวง จ.เชียงราย 57110,เขตพื้นที่การศึกษาเชียงราย เขต 3
ผาบ่อง(คุรุราษฎร์สามัคคี),ต.ดงมะดะ อ.แม่ลาว จ.เชียงราย 57250,เขตพื้นที่การศึกษาเชียงราย เขต 2
ผาสำราญ,ต.เมืองแปง อ.ปาย จ.แม่ฮ่องสอน 58130,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 1
ผาแดงหลวง,ต.แม่โถ อ.แม่ลาน้อย จ.แม่ฮ่องสอน 58120,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
ผาเยอ,ต.กองก๋อย อ.สบเมย จ.แม่ฮ่องสอน 58110,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
ผาแดง,ต.ปางมะผ้า อ.ปางมะผ้า จ.แม่ฮ่องสอน 58150,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 1
ผามอน,ต.ถ้ำลอด อ.ปางมะผ้า จ.แม่ฮ่องสอน 58150,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 1
ผาผึ้ง,ต.เชียงทอง อ.วังเจ้า จ.ตาก 63000,เขตพื้นที่การศึกษาตาก เขต 1
ผาเวียง,ต.แม่สิน อ.ศรีสัชนาลัย จ.สุโขทัย 64130,เขตพื้นที่การศึกษาสุโขทัย เขต 2
ผารังหมี,ต.ไทรย้อย อ.เนินมะปราง จ.พิษณุโลก 65190,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
ผาท่าพล,ต.บ้านน้อยซุ้มขี้เหล็ก อ.เนินมะปราง จ.พิษณุโลก 65190,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
ผาทอง,ต.พุทธบาท อ.ชนแดน จ.เพชรบูรณ์ 67150,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 1
ผมเด็น,อ.สิเกา จ.ตรัง 92150,เขตพื้นที่การศึกษาตรัง เขต 2