วชิรธรรมสาธิต,แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
วรพรตสังฆาวาส,ต.บางนาง อ.พานทอง จ.ชลบุรี 20160,เขตพื้นที่การศึกษาชลบุรี เขต 2
วังหิน,ต.สุรศักดิ์ อ.ศรีราชา จ.ชลบุรี 20110,เขตพื้นที่การศึกษาชลบุรี เขต 3
วังหว้า,ต.วังหว้า อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
วังสรรพรส,ต.บ่อ อ.ขลุง จ.จันทบุรี 22110,เขตพื้นที่การศึกษาจันทบุรี เขต 2
วันยาวล่าง,ต.วันยาว อ.ขลุง จ.จันทบุรี 22110,เขตพื้นที่การศึกษาจันทบุรี เขต 2
วังจะอ้าย,ต.มะขาม อ.มะขาม จ.จันทบุรี 22150,เขตพื้นที่การศึกษาจันทบุรี เขต 2
วังหิน,ต.วังโตนด อ.นายายอาม จ.จันทบุรี 22170,เขตพื้นที่การศึกษาจันทบุรี เขต 1
วัง (กิ่ม บุญอยู่อุทิศ),ต.วังกระแจะ อ.เมืองตราด จ.ตราด 23000,เขตพื้นที่การศึกษาตราด เขต 1
วิเวกวราราม (ศุภกิจวิบูลอุปถัมภ์),ต.เนินทราย อ.เมืองตราด จ.ตราด 23000,เขตพื้นที่การศึกษาตราด เขต 1
วรุณดิตถาราม,ต.ท่ากุ่ม อ.เมืองตราด จ.ตราด 23000,เขตพื้นที่การศึกษาตราด เขต 1
วัชคามคชทวีป,ต.เกาะช้างใต้ อ.เกาะช้าง จ.ตราด 23170,เขตพื้นที่การศึกษาตราด เขต 1
วังกะจะ,ต.วังเย็น อ.แปลงยาว จ.ฉะเชิงเทรา 24190,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
วังเย็น,ต.วังเย็น อ.แปลงยาว จ.ฉะเชิงเทรา 24190,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
วังหวาย,ต.วังดาล อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
วัฒนารังษี,ต.บ้านนา อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
วังตูม,ต.บ้านใหญ่ อ.เมืองนครนายก จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
วังไทร,ต.บ้านใหญ่ อ.เมืองนครนายก จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
วังยายฉิม,ต.หินตั้ง อ.เมืองนครนายก จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
วังทิพย์พันธาราม,ต.เขาพระ อ.เมืองนครนายก จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
วังปลาจีด,ต.พรหมณี อ.เมืองนครนายก จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
วังน้ำ,ต.สัมฤทธิ์ อ.พิมาย จ.นครราชสีมา 30110,เขตพื้นที่การศึกษานครราชสีมา เขต 7
วชิราลงกรณวราราม,ต.หนองน้ำแดง อ.ปากช่อง จ.นครราชสีมา 30130,เขตพื้นที่การศึกษานครราชสีมา เขต 4
วงษ์วารี,ต.มะเฟือง อ.พุทไธสง จ.บุรีรัมย์ 31120,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
วรดิษฐ์,ต.หายโศก อ.พุทไธสง จ.บุรีรัมย์ 31120,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
วนาสันต์ (โศกนาคสามัคคี),ต.แดงใหญ่ อ.บ้านใหม่ไชยพจน์ จ.บุรีรัมย์ 31120,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
วังสิงห์คำ,ต.ป่าแดด อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50100,เขตพื้นที่การศึกษาเชียงใหม่ เขต 1
วังดิน,ต.ข่วงเปา อ.จอมทอง จ.เชียงใหม่ 50160,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
วาลุการาม,ต.ห้วยทราย อ.แม่ริม จ.เชียงใหม่ 50180,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
วังผาปูน,ต.แม่วิน อ.แม่วาง จ.เชียงใหม่ 50360,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
วังขามป้อม,ต.ดอยหล่อ อ.ดอยหล่อ จ.เชียงใหม่ 50160,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
วังหลวง,ต.ป่าพลู อ.บ้านโฮ่ง จ.ลำพูน 51130,เขตพื้นที่การศึกษาลำพูน เขต 2
วังกู่,ต.น้ำดิบ อ.ป่าซาง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 1
วังสะแกง,ต.หนองล่อง อ.เวียงหนองล่อง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 2
วังกะพี้(วิเชียรประชานุกูล),ต.วังกะพี้ อ.เมืองอุตรดิตถ์ จ.อุตรดิตถ์ 53170,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
วังหมู(นิมมานโกวิท),ต.หาดกรวด อ.เมืองอุตรดิตถ์ จ.อุตรดิตถ์ 53000,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
วังยาง,ต.ผาจุก อ.เมืองอุตรดิตถ์ จ.อุตรดิตถ์ 53000,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
วังกอง,ต.สองคอน อ.ฟากท่า จ.อุตรดิตถ์ 53160,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 2
วังอ้อ,ต.บ้านเสี้ยว อ.ฟากท่า จ.อุตรดิตถ์ 53160,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 2
วังสัมพันธ์,ต.ม่วงเจ็ดต้น อ.บ้านโคก จ.อุตรดิตถ์ 53180,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 2
วังผักรุง,ต.ไร่อ้อย อ.พิชัย จ.อุตรดิตถ์ 53120,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
วังยาง,ต.ตะเคียนเลื่อน อ.เมืองนครสวรรค์ จ.นครสวรรค์ 60000,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
วังไผ่,ต.นครสวรรค์ตก อ.เมืองนครสวรรค์ จ.นครสวรรค์ 60000,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
วังหิน,ต.วัดไทร อ.เมืองนครสวรรค์ จ.นครสวรรค์ 60000,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
วังสวัสดี,ต.หนองกระโดน อ.เมืองนครสวรรค์ จ.นครสวรรค์ 60000,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
วังใหญ่,ต.ท่าไม้ อ.ชุมแสง จ.นครสวรรค์ 60250,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
วังแรต,ต.หนองกลับ อ.หนองบัว จ.นครสวรรค์ 60110,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
วิวิตตาราม,ต.บางตาหงาย อ.บรรพตพิสัย จ.นครสวรรค์ 60180,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
วิมลประชาราษฎร์,ต.อ่างทอง อ.บรรพตพิสัย จ.นครสวรรค์ 60180,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
วาปีรัตนาราม,ต.หนองโพ อ.ตาคลี จ.นครสวรรค์ 60140,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
วังมหากร,ต.วังมหากร อ.ท่าตะโก จ.นครสวรรค์ 60160,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
วังม้า(ชลประสิทธิ์วิทยา),ต.วังม้า อ.ลาดยาว จ.นครสวรรค์ 60150,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
วังปลากด,ต.ทุ่งใหญ่ อ.เมืองอุทัยธานี จ.อุทัยธานี 61000,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
วังสาริกา,ต.หนองกระทุ่ม อ.ทัพทัน จ.อุทัยธานี 61120,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
วังบุญ,ต.ไผ่เขียว อ.สว่างอารมณ์ จ.อุทัยธานี 61150,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
วังสวรรค์(ประชาบำรุง),ต.ยางซ้าย อ.เมืองสุโขทัย จ.สุโขทัย 64000,เขตพื้นที่การศึกษาสุโขทัย เขต 1
วังแดง,ต.บ้านหลุม อ.เมืองสุโขทัย จ.สุโขทัย 64000,เขตพื้นที่การศึกษาสุโขทัย เขต 1
วังค่า,ต.ป่างิ้ว อ.ศรีสัชนาลัย จ.สุโขทัย 64130,เขตพื้นที่การศึกษาสุโขทัย เขต 2
วังทอง,ต.วังทอง อ.ศรีสำโรง จ.สุโขทัย 64120,เขตพื้นที่การศึกษาสุโขทัย เขต 2
วังใหญ่,ต.วังใหญ่ อ.ศรีสำโรง จ.สุโขทัย 64120,เขตพื้นที่การศึกษาสุโขทัย เขต 2
วังเป็ด,ต.บางระกำ อ.บางระกำ จ.พิษณุโลก 65140,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
วังอิทก,ต.วังอิทก อ.บางระกำ จ.พิษณุโลก 65140,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
วังแร่,ต.ชุมแสงสงคราม อ.บางระกำ จ.พิษณุโลก 65240,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
วงฆ้อง,ต.วงฆ้อง อ.พรหมพิราม จ.พิษณุโลก 65180,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
วังมะด่าน,ต.วงฆ้อง อ.พรหมพิราม จ.พิษณุโลก 65180,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
วังไม้แก่น,ต.วังวน อ.พรหมพิราม จ.พิษณุโลก 65150,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
วังวน,ต.วังวน อ.พรหมพิราม จ.พิษณุโลก 65150,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
วังงิ้วงาม,ต.ดงประคำ อ.พรหมพิราม จ.พิษณุโลก 65180,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
วังพิกุล,ต.วังพิกุล อ.วังทอง จ.พิษณุโลก 65130,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
วังมะเดื่อ,ต.ท่าฬ่อ อ.เมืองพิจิตร จ.พิจิตร 66000,เขตพื้นที่การศึกษาพิจิตร เขต 1
วังหูทิพย์,ต.ดงป่าคำ อ.เมืองพิจิตร จ.พิจิตร 66170,เขตพื้นที่การศึกษาพิจิตร เขต 1
วังสำโรง,ต.วังสำโรง อ.ตะพานหิน จ.พิจิตร 66110,เขตพื้นที่การศึกษาพิจิตร เขต 2
วังไคร้,ต.คลองคูณ อ.ตะพานหิน จ.พิจิตร 66110,เขตพื้นที่การศึกษาพิจิตร เขต 2
วังหว้า,ต.วังหว้า อ.ตะพานหิน จ.พิจิตร 66110,เขตพื้นที่การศึกษาพิจิตร เขต 2
วังน้ำเต้า,ต.บางไผ่ อ.บางมูลนาก จ.พิจิตร 66120,เขตพื้นที่การศึกษาพิจิตร เขต 2
วังตะกู,ต.วังตะกู อ.บางมูลนาก จ.พิจิตร 66210,เขตพื้นที่การศึกษาพิจิตร เขต 2
วังแดง สาขาบ้านสามง่าม,ต.สามง่าม อ.สามง่าม จ.พิจิตร 66140,เขตพื้นที่การศึกษาพิจิตร เขต 1
วังแดง,ต.สามง่าม อ.สามง่าม จ.พิจิตร 66140,เขตพื้นที่การศึกษาพิจิตร เขต 1
วังแดง สาขาวัดสามง่าม(วันครู 2501),ต.สามง่าม อ.สามง่าม จ.พิจิตร 66140,เขตพื้นที่การศึกษาพิจิตร เขต 1
วังปลาทู,ต.กำแพงดิน อ.สามง่าม จ.พิจิตร 66220,เขตพื้นที่การศึกษาพิจิตร เขต 1
วังแดง,ต.เขาทราย อ.ทับคล้อ จ.พิจิตร,เขตพื้นที่การศึกษาพิจิตร เขต 2
วังหินเพลิง,ต.เขาทราย อ.ทับคล้อ จ.พิจิตร 66230,เขตพื้นที่การศึกษาพิจิตร เขต 2
วังกระชัน,ต.ท้ายทุ่ง อ.ทับคล้อ จ.พิจิตร 66150,เขตพื้นที่การศึกษาพิจิตร เขต 2
วังเรือน,ต.วังงิ้วใต้ อ.ดงเจริญ จ.พิจิตร 66210,เขตพื้นที่การศึกษาพิจิตร เขต 2
วังหินแรง,ต.สำนักขุนเณร อ.ดงเจริญ จ.พิจิตร 66210,เขตพื้นที่การศึกษาพิจิตร เขต 2
วังตะขบ,ต.วังโมกข์ อ.วชิรบารมี จ.พิจิตร 66000,เขตพื้นที่การศึกษาพิจิตร เขต 1
วังมะนาว,ต.วังมะนาว อ.ปากท่อ จ.ราชบุรี 70140,เขตพื้นที่การศึกษาราชบุรี เขต 1
วิมลมรรคาราม,ต.บ่อกระดาน อ.ปากท่อ จ.ราชบุรี 70140,เขตพื้นที่การศึกษาราชบุรี เขต 1
วันดาว,ต.วันดาว อ.ปากท่อ จ.ราชบุรี 70140,เขตพื้นที่การศึกษาราชบุรี เขต 1
วังขนายทายิการาม,ต.วังขนาย อ.ท่าม่วง จ.กาญจนบุรี 71110,เขตพื้นที่การศึกษากาญจนบุรี เขต 1
วังศาลา,ต.วังศาลา อ.ท่าม่วง จ.กาญจนบุรี 71110,เขตพื้นที่การศึกษากาญจนบุรี เขต 1
วังก์วิเวการาม,ต.หนองลู อ.สังขละบุรี จ.กาญจนบุรี 71240,เขตพื้นที่การศึกษากาญจนบุรี เขต 3
วังพระนอน,ต.ดอนกำยาน อ.เมืองสุพรรณบุรี จ.สุพรรณบุรี 72000,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
วรจันทร์,ต.โพธิ์พระยา อ.เมืองสุพรรณบุรี จ.สุพรรณบุรี 72000,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
วังกุ่ม,ต.โพธิ์พระยา อ.เมืองสุพรรณบุรี จ.สุพรรณบุรี 72000,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
วังกุลา,ต.เขาพระ อ.เดิมบางนางบวช จ.สุพรรณบุรี 72120,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
วังสำเภาล่ม,ต.นางบวช อ.เดิมบางนางบวช จ.สุพรรณบุรี 72120,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
วุ้งสุทธาวาส,ต.ทุ่งคลี อ.เดิมบางนางบวช จ.สุพรรณบุรี 72120,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
วังคัน,ต.วังคัน อ.ด่านช้าง จ.สุพรรณบุรี 72180,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
วังน้ำเย็น,ต.วังน้ำเย็น อ.บางปลาม้า จ.สุพรรณบุรี 72150,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
วังพลับใต้,ต.มดแดง อ.ศรีประจันต์ จ.สุพรรณบุรี 72140,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
วังพลับเหนือ,ต.มดแดง อ.ศรีประจันต์ จ.สุพรรณบุรี 72140,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
วังหว้า,ต.ย่านยาว อ.สามชุก จ.สุพรรณบุรี 72130,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
วังหิน,ต.ย่านยาว อ.สามชุก จ.สุพรรณบุรี 72130,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
วังจิก,ต.วังลึก อ.สามชุก จ.สุพรรณบุรี 72130,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
วังตะกู,ต.วังตะกู อ.เมืองนครปฐม จ.นครปฐม 73000,เขตพื้นที่การศึกษานครปฐม เขต 1
วังเย็น,ต.วังเย็น อ.เมืองนครปฐม จ.นครปฐม 73000,เขตพื้นที่การศึกษานครปฐม เขต 1
วังน้ำเขียว,ต.วังน้ำเขียว อ.กำแพงแสน จ.นครปฐม 73140,เขตพื้นที่การศึกษานครปฐม เขต 1
วังน้ำขาว,ต.คลองจินดา อ.สามพราน จ.นครปฐม 73110,เขตพื้นที่การศึกษานครปฐม เขต 2
วิสุทธาราม,ต.บางกระเจ้า อ.เมืองสมุทรสาคร จ.สมุทรสาคร 74000,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
วรภูมิ(วรไวทยาวาส),ต.สวนหลวง อ.อัมพวา จ.สมุทรสงคราม 75110,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
วังไคร้,ต.วังไคร้ อ.ท่ายาง จ.เพชรบุรี 76130,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
วังบัว (ศรสายราษฎร์บำรุง),ต.ลาดโพธิ์ อ.บ้านลาด จ.เพชรบุรี 76150,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
วนาราม,ต.โพธิ์เสด็จ อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
วิสุทธิยาราม,ต.ปากพูน อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
วังหงส์,ต.ลานสกา อ.ลานสกา จ.นครศรีธรรมราช 80230,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
วังไทร,ต.กำโลน อ.ลานสกา จ.นครศรีธรรมราช 80230,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
วังม่วง,ต.ฉวาง อ.ฉวาง จ.นครศรีธรรมราช 80150,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
วังกลม,ต.บ้านตูล อ.ชะอวด จ.นครศรีธรรมราช 80180,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
วังหีบ,ต.ชะมาย อ.ทุ่งสง จ.นครศรีธรรมราช 80110,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
วังขรี,ต.นาไม้ไผ่ อ.ทุ่งสง จ.นครศรีธรรมราช 80110,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
วิสุทธิวงศ์,ต.บางรูป อ.ทุ่งใหญ่ จ.นครศรีธรรมราช 80240,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
วัวหลุง,ต.ควนชุม อ.ร่อนพิบูลย์ จ.นครศรีธรรมราช 80130,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
วังหิน,ต.วังหิน อ.บางขัน จ.นครศรีธรรมราช 80360,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
วังรีบุญเลิศ,ต.ดุสิต อ.ถ้ำพรรณรา จ.นครศรีธรรมราช 80260,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
วังฆ้อง,ต.สามตำบล อ.จุฬาภรณ์ จ.นครศรีธรรมราช 80130,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
วังเลา,ต.นาเหรง อ.นบพิตำ จ.นครศรีธรรมราช 80160,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
วังไทร,ต.ป่าร่อน อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84160,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
วชิรประดิษฐ์,ต.ตะเคียนทอง อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84160,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
วิชิตธาราราม,ต.ตะกรบ อ.ไชยา จ.สุราษฎร์ธานี 84110,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
วิโรจนาราม,ต.ปากหมาก อ.ไชยา จ.สุราษฎร์ธานี 84110,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
วิเวการาม,ต.ทุ่งเตา อ.บ้านนาสาร จ.สุราษฎร์ธานี 84120,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
วังไผ่,ต.วังไผ่ อ.เมืองชุมพร จ.ชุมพร 86000,เขตพื้นที่การศึกษาชุมพร เขต 1
วังครก,ต.นากระตาม อ.ท่าแซะ จ.ชุมพร 86140,เขตพื้นที่การศึกษาชุมพร เขต 1
วาลุการาม,ต.แหลมทราย อ.หลังสวน จ.ชุมพร 86110,เขตพื้นที่การศึกษาชุมพร เขต 2
วิเวการาม,ต.แหลมทราย อ.หลังสวน จ.ชุมพร 86110,เขตพื้นที่การศึกษาชุมพร เขต 2
วังไทร,ต.ทับช้าง อ.นาทวี จ.สงขลา 90160,เขตพื้นที่การศึกษาสงขลา เขต 3
วาส,ต.วัดขนุน อ.สิงหนคร จ.สงขลา 90330,เขตพื้นที่การศึกษาสงขลา เขต 1
วารีวง,อ.กันตัง จ.ตรัง 92110,เขตพื้นที่การศึกษาตรัง เขต 2
วิหารเบิก (กาญจนานุกูล),อ.เมืองพัทลุง จ.พัทลุง 93000,เขตพื้นที่การศึกษาพัทลุง เขต 1