ขุมแก้ว,ต.บึงสนั่น อ.ธัญบุรี จ.ปทุมธานี 12110,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ขวาง,ต.โคกคราม อ.บางปลาม้า จ.สุพรรณบุรี 72150,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
ขุนตรา,ต.บ้านกุ่ม อ.เมืองเพชรบุรี จ.เพชรบุรี 76000,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
ขนาน,ต.ทุ่งใหญ่ อ.ทุ่งใหญ่ จ.นครศรีธรรมราช 80240,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
ขนาบนาก,ต.ขนาบนาก อ.ปากพนัง จ.นครศรีธรรมราช 80140,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ขรัวช่วย,ต.เสาเภา อ.สิชล จ.นครศรีธรรมราช 80340,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
ขจรบำรุง,ต.วัง อ.ท่าชนะ จ.สุราษฎร์ธานี 84170,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
ขุนกระทิง,ต.ขุนกระทิง อ.เมืองชุมพร จ.ชุมพร 86190,เขตพื้นที่การศึกษาชุมพร เขต 1
ขุนตัดหวาย,ต.ขุนตัดหวาย อ.จะนะ จ.สงขลา 90130,เขตพื้นที่การศึกษาสงขลา เขต 3
ขนุน,ต.วัดขนุน อ.สิงหนคร จ.สงขลา 90330,เขตพื้นที่การศึกษาสงขลา เขต 1
ขุนสิทธิ์,อ.เมืองตรัง จ.ตรัง 92000,เขตพื้นที่การศึกษาตรัง เขต 1