ทองสัมฤทธิ์,แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ท่าช้าง,ต.บ้านชี อ.บ้านหมี่ จ.ลพบุรี 15180,เขตพื้นที่การศึกษาลพบุรี เขต 1
ทุ่งทะเลหญ้า,ต.โพนทอง อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
ท้ายลาด,ต.หนองกระเบียน อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
ท่าอิฐ,ต.ท่างาม อ.อินทร์บุรี จ.สิงห์บุรี 16110,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ทอง,ต.น้ำตาล อ.อินทร์บุรี จ.สิงห์บุรี 16110,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ท่ากระแส,ต.เที่ยงแท้ อ.สรรคบุรี จ.ชัยนาท 17140,เขตพื้นที่การศึกษาชัยนาท เขต 1
ท่า,ต.โพงาม อ.สรรคบุรี จ.ชัยนาท 17140,เขตพื้นที่การศึกษาชัยนาท เขต 1
ท่าสมอ(สำนักงานสลากกินแบ่งสงเคราะห์258),ต.บางขุด อ.สรรคบุรี จ.ชัยนาท 17140,เขตพื้นที่การศึกษาชัยนาท เขต 1
ทองนพคุณ,ต.ห้วยงู อ.หันคา จ.ชัยนาท 17160,เขตพื้นที่การศึกษาชัยนาท เขต 1
ท่าแก้ว,ต.ห้วยงู อ.หันคา จ.ชัยนาท 17000,เขตพื้นที่การศึกษาชัยนาท เขต 1
ท่าโบสถ์ (สำนักงานสลากกินแบ่งสงเคราะห์ 343),ต.สามง่ามท่าโบสถ์ อ.หันคา จ.ชัยนาท 17160,เขตพื้นที่การศึกษาชัยนาท เขต 1
ทุ่งสาริกา(ที-สาโรจน์อุปถัมภ์),ต.กุดนกเปล้า อ.เมืองสระบุรี จ.สระบุรี 18000,เขตพื้นที่การศึกษาสระบุรี เขต 1
ท่าคล้อ,ต.ท่าคล้อ อ.แก่งคอย จ.สระบุรี 18110,เขตพื้นที่การศึกษาสระบุรี เขต 2
ท่าสีโพธิ์เหนือ,ต.ท่าตูม อ.แก่งคอย จ.สระบุรี 18110,เขตพื้นที่การศึกษาสระบุรี เขต 2
ท่ามะปราง,ต.ท่ามะปราง อ.แก่งคอย จ.สระบุรี 18110,เขตพื้นที่การศึกษาสระบุรี เขต 2
ท่าช้าง(ท่าช้างประกฤติศึกษา),ต.ท่าช้าง อ.เสาไห้ จ.สระบุรี 18160,เขตพื้นที่การศึกษาสระบุรี เขต 1
ท่าวัว,ต.ผึ้งรวง อ.เฉลิมพระเกียรติ จ.สระบุรี 18240,เขตพื้นที่การศึกษาสระบุรี เขต 1
ท้องคุ้ง,ต.นาป่า อ.เมืองชลบุรี จ.ชลบุรี 20000,เขตพื้นที่การศึกษาชลบุรี เขต 1
ทรงธรรม,ต.หนองปรือ อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
ทุ่งเหียง,ต.หมอนนาง อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
ท่าบุญมี,ต.เกาะจันทร์ อ.เกาะจันทร์ จ.ชลบุรี 20240,เขตพื้นที่การศึกษาชลบุรี เขต 2
ท่าเรือ,ต.แกลง อ.เมืองระยอง จ.ระยอง 21160,เขตพื้นที่การศึกษาระยอง เขต 1
ทุ่งควายกิน,ต.ทุ่งควายกิน อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
ท่ากง,ต.พังราด อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
ทองทั่ว,ต.คลองนารายณ์ อ.เมืองจันทบุรี จ.จันทบุรี 22000,เขตพื้นที่การศึกษาจันทบุรี เขต 1
ทุ่งเบญจา,ต.ทุ่งเบญจา อ.ท่าใหม่ จ.จันทบุรี 22170,เขตพื้นที่การศึกษาจันทบุรี เขต 1
ท่าศาลา,ต.รำพัน อ.ท่าใหม่ จ.จันทบุรี 22170,เขตพื้นที่การศึกษาจันทบุรี เขต 1
ทับไทร,ต.ทับไทร อ.โป่งน้ำร้อน จ.จันทบุรี 22140,เขตพื้นที่การศึกษาจันทบุรี เขต 2
ทุ่งเพล (พรชำนิอุปถัมภ์),ต.ฉมัน อ.มะขาม จ.จันทบุรี 22150,เขตพื้นที่การศึกษาจันทบุรี เขต 2
ท่าเขา,ต.ปากน้ำแหลมสิงห์ อ.แหลมสิงห์ จ.จันทบุรี 22130,เขตพื้นที่การศึกษาจันทบุรี เขต 2
ท่าหัวแหวน(ประจักษ์พงษ์วิทยา),ต.ปากน้ำแหลมสิงห์ อ.แหลมสิงห์ จ.จันทบุรี 22130,เขตพื้นที่การศึกษาจันทบุรี เขต 2
ทุ่งกบิล,ต.คลองพลู อ.เขาคิชฌกูฏ จ.จันทบุรี 22210,เขตพื้นที่การศึกษาจันทบุรี เขต 2
ท่าหาด,ต.แสนตุ้ง อ.เขาสมิง จ.ตราด 23130,เขตพื้นที่การศึกษาตราด เขต 1
ท่าโสม(คุณสารราษฎร์บำรุง),ต.ท่าโสม อ.เขาสมิง จ.ตราด 23150,เขตพื้นที่การศึกษาตราด เขต 1
ทองธรรมชาติ,ต.คลองใหญ่ อ.แหลมงอบ จ.ตราด 23120,เขตพื้นที่การศึกษาตราด เขต 1
ทด,ต.บางไผ่ อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
ทางข้ามน้อย,ต.หัวไทร อ.บางคล้า จ.ฉะเชิงเทรา 24110,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ท่าสะอ้าน,ต.ท่าสะอ้าน อ.บางปะกง จ.ฉะเชิงเทรา 24130,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
ท่าเกวียน,ต.พนมสารคาม อ.พนมสารคาม จ.ฉะเชิงเทรา 24110,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ท่าลาดเหนือ,ต.ท่าถ่าน อ.พนมสารคาม จ.ฉะเชิงเทรา 24110,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ทุ่งยายชี,ต.ท่าตะเกียบ อ.ท่าตะเกียบ จ.ฉะเชิงเทรา 24160,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ท้าวอู่ทอง,ต.โคกไม้ลาย อ.เมืองปราจีนบุรี จ.ปราจีนบุรี 25000,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
ทุ่งตะลุมพุก,ต.โนนห้อม อ.เมืองปราจีนบุรี จ.ปราจีนบุรี 25000,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
ทุ่งสบก,ต.คำโตนด อ.ประจันตคาม จ.ปราจีนบุรี 25130,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
ท่าช้าง(แสงปัญญาวิทยาคาร),ต.ท่าช้าง อ.เมืองนครนายก จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
ท่าข่อย(ศาสนกิจโกศล),ต.บ้านใหญ่ อ.เมืองนครนายก จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
ท่าทราย,ต.ท่าทราย อ.เมืองนครนายก จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
ท่าชัย,ต.หินตั้ง อ.เมืองนครนายก จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
ท่าด่าน,ต.หินตั้ง อ.เมืองนครนายก จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
ท่ามะปราง,ต.นาหินลาด อ.ปากพลี จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
ทองจรรยา,ต.บ้านนา อ.บ้านนา จ.นครนายก 26110,เขตพื้นที่การศึกษานครนายก เขต 1
ทองย้อย(วุฒิกรประชานุกูล),ต.บ้านนา อ.บ้านนา จ.นครนายก 26110,เขตพื้นที่การศึกษานครนายก เขต 1
ทางกระบือ(เอื้อดีวิทยาคาร),ต.บ้านพร้าว อ.บ้านนา จ.นครนายก 26110,เขตพื้นที่การศึกษานครนายก เขต 1
ทองหลาง(สุขชมวิทยาคาร),ต.ทองหลาง อ.บ้านนา จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
ท่าทราย(พิมพานุสร),ต.ทองหลาง อ.บ้านนา จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
ทวีพูลรังสรรค์,ต.ทรายมูล อ.องครักษ์ จ.นครนายก 26160,เขตพื้นที่การศึกษานครนายก เขต 1
ทุ่งสว่าง,ต.ในเมือง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,เขตพื้นที่การศึกษานครราชสีมา เขต 1
ทุ่งจาน,ต.นกออก อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
ท่าเยี่ยม,ต.พุทไธสง อ.พุทไธสง จ.บุรีรัมย์ 31120,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
ท่าเรียบ,ต.นาโพธิ์ อ.นาโพธิ์ จ.บุรีรัมย์ 31230,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
ทรงสุวรรณ,ต.บ้านดู่ อ.นาโพธิ์ จ.บุรีรัมย์ 31230,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
ทักษิณวารี,ต.ลำดวน อ.ลำดวน จ.สุรินทร์ 32220,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
ท่าวังหิน,ต.ในเมือง อ.เมืองอุบลราชธานี จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
ทุ่งหลวง,ต.แม่แตง อ.แม่แตง จ.เชียงใหม่ 50150,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
ทรายมูล,ต.ขี้เหล็ก อ.แม่แตง จ.เชียงใหม่ 50150,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
ท่าข้าม,ต.สบเปิง อ.แม่แตง จ.เชียงใหม่ 50330,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
ท่าข้าม สาขาม้งชุ่มเย็น,ต.สบเปิง อ.แม่แตง จ.เชียงใหม่,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
ทรายมูล,ต.ริมใต้ อ.แม่ริม จ.เชียงใหม่ 50180,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
ทุ่งหลุก,ต.ท่าวังพร้าว อ.สันป่าตอง จ.เชียงใหม่ 50120,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
ท่าโป่ง,ต.บ้านแม อ.สันป่าตอง จ.เชียงใหม่ 50120,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
ท้องฝาย,ต.บ้านกลาง อ.สันป่าตอง จ.เชียงใหม่ 50120,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
ท่ากาน,ต.บ้านกลาง อ.สันป่าตอง จ.เชียงใหม่ 50120,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
ทรายมูล,ต.ทรายมูล อ.สันกำแพง จ.เชียงใหม่ 50130,เขตพื้นที่การศึกษาเชียงใหม่ เขต 1
ท่าต้นกวาว,ต.ชมภู อ.สารภี จ.เชียงใหม่ 50140,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
ทุ่งศาลา,ต.ดอนเปา อ.แม่วาง จ.เชียงใหม่ 50120,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
ทุ่งท้อ,ต.สองแคว อ.ดอยหล่อ จ.เชียงใหม่ 50160,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
ทุ่งยาว,ต.ศรีบัวบาน อ.เมืองลำพูน จ.ลำพูน 51000,เขตพื้นที่การศึกษาลำพูน เขต 1
ทากาศ,ต.ทากาศ อ.แม่ทา จ.ลำพูน 51170,เขตพื้นที่การศึกษาลำพูน เขต 1
ท่าต้นงิ้ว,ต.ปากบ่อง อ.ป่าซาง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 1
ท่าตุ้ม,ต.บ้านเรือน อ.ป่าซาง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 1
ทุ่งกล้วย,ต.บ้านเอื้อม อ.เมืองลำปาง จ.ลำปาง 52000,เขตพื้นที่การศึกษาลำปาง เขต 1
ทุ่งโจ้,ต.บ้านค่า อ.เมืองลำปาง จ.ลำปาง 52100,เขตพื้นที่การศึกษาลำปาง เขต 1
ท่าสี,ต.บ้านดง อ.แม่เมาะ จ.ลำปาง 52220,เขตพื้นที่การศึกษาลำปาง เขต 1
ทุ่งเศรษฐี,ต.ป่าเซ่า อ.เมืองอุตรดิตถ์ จ.อุตรดิตถ์ 53000,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
ท่าทอง(นิมมานโกวิทพิทยา),ต.วังกะพี้ อ.เมืองอุตรดิตถ์ จ.อุตรดิตถ์ 53170,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
ท้องลับแล(ธรรมเนตรโศภณ),ต.ฝายหลวง อ.ลับแล จ.อุตรดิตถ์ 53130,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
ทุ่งล้อม(ทองประชานุเคราะห์),ต.ห้วยม้า อ.เมืองแพร่ จ.แพร่ 54000,เขตพื้นที่การศึกษาแพร่ เขต 1
ท่าข้าม(สิริพรหมคุณ วิรุฬห์ศีลาจาร อุปถัมภ์),ต.ไหล่น่าน อ.เวียงสา จ.น่าน 55110,เขตพื้นที่การศึกษาน่าน เขต 1
ท่าทอง,ต.นครสวรรค์ตก อ.เมืองนครสวรรค์ จ.นครสวรรค์ 60000,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
ท่าดินแดง,ต.บางพระหลวง อ.เมืองนครสวรรค์ จ.นครสวรรค์ 60000,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
ท่าล้อ,ต.บางพระหลวง อ.เมืองนครสวรรค์ จ.นครสวรรค์ 60000,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
ทัพชุมพล,ต.หนองกรด อ.เมืองนครสวรรค์ จ.นครสวรรค์ 60240,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
ท่าซุด(เจริญศิลป์),ต.บางประมุง อ.โกรกพระ จ.นครสวรรค์ 60170,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
ทับกฤชเหนือ,ต.ทับกฤช อ.ชุมแสง จ.นครสวรรค์ 60250,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
ทับกฤชเหนือสาขาวัดทุ่งแว่น,ต.ทับกฤช อ.ชุมแสง จ.นครสวรรค์ 60250,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
ท่านา,ต.เกยไชย อ.ชุมแสง จ.นครสวรรค์ 60120,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
ท่าไม้,ต.ท่าไม้ อ.ชุมแสง จ.นครสวรรค์ 60120,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
ท่างิ้ว,ต.ท่างิ้ว อ.บรรพตพิสัย จ.นครสวรรค์ 60180,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
ท่าแรต,ต.อ่างทอง อ.บรรพตพิสัย จ.นครสวรรค์ 60180,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
ทุ่งทะเลทราย,ต.สร้อยทอง อ.ตาคลี จ.นครสวรรค์ 60210,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
ท่าตะโก,ต.ท่าตะโก อ.ท่าตะโก จ.นครสวรรค์ 60160,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
ท่าสุ่ม,ต.วังมหากร อ.ท่าตะโก จ.นครสวรรค์ 60160,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
ท่าโก,ต.ยางขาว อ.พยุหะคีรี จ.นครสวรรค์ 60130,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
ทุ่งนาไทย,ต.ทัพทัน อ.ทัพทัน จ.อุทัยธานี 61120,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ท่ามะขามป้อม,ต.หนองยายดา อ.ทัพทัน จ.อุทัยธานี 61120,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ทุ่งโพ,ต.ทุ่งโพ อ.หนองฉาง จ.อุทัยธานี 61110,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ทุ่งหลวง,ต.ทุ่งพง อ.หนองฉาง จ.อุทัยธานี 61110,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ทุ่งพึ่ง,ต.ทุ่งพึ่ง อ.หนองขาหย่าง จ.อุทัยธานี 61130,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ท่าโพ,ต.ท่าโพ อ.หนองขาหย่าง จ.อุทัยธานี 61130,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ทุ่งปาจาน,ต.ดงขวาง อ.หนองขาหย่าง จ.อุทัยธานี 61000,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ทัพคล้าย,ต.ทัพหลวง อ.บ้านไร่ จ.อุทัยธานี 61140,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ทัพหมัน,ต.ทัพหลวง อ.บ้านไร่ จ.อุทัยธานี 61140,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ทัพหลวง,ต.ทัพหลวง อ.บ้านไร่ จ.อุทัยธานี 61140,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ทองหลาง,ต.คอกควาย อ.บ้านไร่ จ.อุทัยธานี 61140,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ทุ่ง,ต.ป่าแฝก อ.กงไกรลาศ จ.สุโขทัย 64170,เขตพื้นที่การศึกษาสุโขทัย เขต 1
ท่าฉนวน,ต.ท่าฉนวน อ.กงไกรลาศ จ.สุโขทัย 64170,เขตพื้นที่การศึกษาสุโขทัย เขต 1
ท่าช้าง,ต.ย่านยาว อ.สวรรคโลก จ.สุโขทัย 64110,เขตพื้นที่การศึกษาสุโขทัย เขต 2
ท่าเกษม,ต.เมืองบางยม อ.สวรรคโลก จ.สุโขทัย 64110,เขตพื้นที่การศึกษาสุโขทัย เขต 2
ท่าทอง,ต.เมืองบางยม อ.สวรรคโลก จ.สุโขทัย 64110,เขตพื้นที่การศึกษาสุโขทัย เขต 2
ท่าโรงตะวันตก,ต.วัดพริก อ.เมืองพิษณุโลก จ.พิษณุโลก 65230,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
ท่าโรงตะวันออก,ต.วัดพริก อ.เมืองพิษณุโลก จ.พิษณุโลก 65230,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
ท่าตะเคียน,ต.จอมทอง อ.เมืองพิษณุโลก จ.พิษณุโลก 65000,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
ท่าโก,ต.บางระกำ อ.บางระกำ จ.พิษณุโลก 65140,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
ทุ่งชา,ต.ปลักแรด อ.บางระกำ จ.พิษณุโลก 65140,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
ท่านา,ต.ไผ่ล้อม อ.บางกระทุ่ม จ.พิษณุโลก 65110,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
ท่ามะขาม,ต.ไผ่ล้อม อ.บางกระทุ่ม จ.พิษณุโลก 65110,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
ท่าช้าง,ต.ท่าช้าง อ.พรหมพิราม จ.พิษณุโลก 65160,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
ท่าสี่ร้อย,ต.มะต้อง อ.พรหมพิราม จ.พิษณุโลก 65180,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
ทับยายเชียง,ต.ทับยายเชียง อ.พรหมพิราม จ.พิษณุโลก 65150,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
ท้องโพลง,ต.ดงประคำ อ.พรหมพิราม จ.พิษณุโลก 65180,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
ทุ่งตาเปรี้ยว,ต.ดงประคำ อ.พรหมพิราม จ.พิษณุโลก 65180,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
ทองแท้(จ่างอนุกูลพิทยา),ต.ท้อแท้ อ.วัดโบสถ์ จ.พิษณุโลก 65160,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
ทางลัด,ต.วังพิกุล อ.วังทอง จ.พิษณุโลก 65130,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
ท่าหมื่นราม,ต.ท่าหมื่นราม อ.วังทอง จ.พิษณุโลก 65130,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
ท่าข่อย,ต.เมืองเก่า อ.เมืองพิจิตร จ.พิจิตร 66000,เขตพื้นที่การศึกษาพิจิตร เขต 1
ท่าบัวทอง,ต.โพธิ์ประทับช้าง อ.โพธิ์ประทับช้าง จ.พิจิตร 66190,เขตพื้นที่การศึกษาพิจิตร เขต 1
ท่าพุดซา,ต.โพธิ์ประทับช้าง อ.โพธิ์ประทับช้าง จ.พิจิตร 66190,เขตพื้นที่การศึกษาพิจิตร เขต 1
ท่าปอ,ต.วังหว้า อ.ตะพานหิน จ.พิจิตร 66110,เขตพื้นที่การศึกษาพิจิตร เขต 2
ทับปรู,ต.ทับหมัน อ.ตะพานหิน จ.พิจิตร 66110,เขตพื้นที่การศึกษาพิจิตร เขต 2
ทับหมัน,ต.ทับหมัน อ.ตะพานหิน จ.พิจิตร 66110,เขตพื้นที่การศึกษาพิจิตร เขต 2
