หนองจอก(ภักดีนรเศรษฐ),แขวงกระทุ่มราย เขตหนองจอก กรุงเทพมหานคร 10530,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 0
ห้วยจระเข้ (เกตุอร่ามอุปถัมภ์),ต.บ่อตาโล่ อ.วังน้อย จ.พระนครศรีอยุธยา 13170,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
หัวเวียง (เขมสุทธิวิทยาคาร),ต.หัวเวียง อ.เสนา จ.พระนครศรีอยุธยา 13110,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
หนองลำเจียก,ต.บ้านแถว อ.เสนา จ.พระนครศรีอยุธยา 13110,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
หนองไม้ซุง,ต.หนองไม้ซุง อ.อุทัย จ.พระนครศรีอยุธยา 13210,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
หนองน้ำส้ม (เจียนวิทยาคาร),ต.หนองน้ำส้ม อ.อุทัย จ.พระนครศรีอยุธยา 13210,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
หลวงพ่อเขียว,ต.สำพะเนียง อ.บ้านแพรก จ.พระนครศรีอยุธยา 13240,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
หนองยาง,ต.วังน้ำเย็น อ.แสวงหา จ.อ่างทอง 14150,เขตพื้นที่การศึกษาอ่างทอง เขต 1
หมื่นเกลา,ต.วังน้ำเย็น อ.แสวงหา จ.อ่างทอง 14150,เขตพื้นที่การศึกษาอ่างทอง เขต 1
หัวสะแกตก,ต.จำลอง อ.แสวงหา จ.อ่างทอง 14150,เขตพื้นที่การศึกษาอ่างทอง เขต 1
หลวง,ต.ศาลเจ้าโรงทอง อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ห้วยคันแหลน,ต.ห้วยคันแหลน อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ห้วยโรง,ต.ห้วยคันแหลน อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
หัวตะพาน,ต.หัวตะพาน อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
หลักแก้ว,ต.หลักแก้ว อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
หนองกร่าง,ต.ราษฎรพัฒนา อ.สามโก้ จ.อ่างทอง 14160,เขตพื้นที่การศึกษาอ่างทอง เขต 1
หนองบัวขาว,ต.เขาสามยอด อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองปลิง,ต.โคกกะเทียม อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
หลวงสุวรรณาราม,ต.ตะลุง อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองแก้ว,ต.บางขันหมาก อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
หลวงท้ายตลาด,ต.ท้ายตลาด อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองนา,ต.พัฒนานิคม อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองตามิ่ง,ต.โคกสลุง อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองพิมาน,ต.โคกสำโรง อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองคู,ต.ห้วยโป่ง อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองหอย,ต.ห้วยโป่ง อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
ห้วยโป่ง,ต.ห้วยโป่ง อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองแขม,ต.หนองแขม อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองปลาดุก,ต.บางลี่ อ.ท่าวุ้ง จ.ลพบุรี 15150,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองหลวง,ต.บางลี่ อ.ท่าวุ้ง จ.ลพบุรี 15150,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองมน,ต.บางงา อ.ท่าวุ้ง จ.ลพบุรี 15150,เขตพื้นที่การศึกษาลพบุรี เขต 1
หัวสำโรง,ต.หัวสำโรง อ.ท่าวุ้ง จ.ลพบุรี 15150,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองน้ำทิพย์,ต.พุคา อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองกระเบียน,ต.หนองกระเบียน อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองคู,ต.หนองกระเบียน อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองโพธิ์,ต.หนองกระเบียน อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองกระเบื้อง,ต.สายห้วยแก้ว อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
ห้วยแก้ว,ต.มหาสอน อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองเมือง,ต.หนองเมือง อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
ห้วยกรวด,ต.หนองเมือง อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
หัวว่าว,ต.บางมัญ อ.เมืองสิงห์บุรี จ.สิงห์บุรี 16000,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ห้วย,ต.พักทัน อ.บางระจัน จ.สิงห์บุรี 16130,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
หลวง,ต.บางน้ำเชี่ยว อ.พรหมบุรี จ.สิงห์บุรี 16120,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
หนองสุ่ม,ต.ห้วยชัน อ.อินทร์บุรี จ.สิงห์บุรี 16110,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
หลวงพ่อขาว,ต.ชัยนาท อ.เมืองชัยนาท จ.ชัยนาท 17000,เขตพื้นที่การศึกษาชัยนาท เขต 1
หนองเต่าดำ,ต.เสือโฮก อ.เมืองชัยนาท จ.ชัยนาท 17000,เขตพื้นที่การศึกษาชัยนาท เขต 1
หนองพังนาค,ต.เสือโฮก อ.เมืองชัยนาท จ.ชัยนาท 17000,เขตพื้นที่การศึกษาชัยนาท เขต 1
หัวยาง(รัฐราษฎร์นุเคราะห์),ต.ท่าฉนวน อ.มโนรมย์ จ.ชัยนาท 17110,เขตพื้นที่การศึกษาชัยนาท เขต 1
หางแขยง(สถิตราษฎร์บำรุง),ต.หางน้ำสาคร อ.มโนรมย์ จ.ชัยนาท 17170,เขตพื้นที่การศึกษาชัยนาท เขต 1
หัวหว้า,ต.ไร่พัฒนา อ.มโนรมย์ จ.ชัยนาท 17170,เขตพื้นที่การศึกษาชัยนาท เขต 1
หนองตาตน,ต.อู่ตะเภา อ.มโนรมย์ จ.ชัยนาท 17110,เขตพื้นที่การศึกษาชัยนาท เขต 1
หนองน้อย,ต.มะขามเฒ่า อ.วัดสิงห์ จ.ชัยนาท 17120,เขตพื้นที่การศึกษาชัยนาท เขต 1
หนองบัว(รัฐปทุมราษฎร์อุปถัมภ์),ต.หนองบัว อ.วัดสิงห์ จ.ชัยนาท 17120,เขตพื้นที่การศึกษาชัยนาท เขต 1
หนองจิก,ต.บ่อแร่ อ.วัดสิงห์ จ.ชัยนาท 17120,เขตพื้นที่การศึกษาชัยนาท เขต 1
หลวงสิริบูรณาราม,ต.สรรพยา อ.สรรพยา จ.ชัยนาท 17150,เขตพื้นที่การศึกษาชัยนาท เขต 1
หาดอาษา,ต.หาดอาษา อ.สรรพยา จ.ชัยนาท 17150,เขตพื้นที่การศึกษาชัยนาท เขต 1
หัวตะพาน,ต.แพรกศรีราชา อ.สรรคบุรี จ.ชัยนาท 17140,เขตพื้นที่การศึกษาชัยนาท เขต 1
หอระฆัง,ต.บางขุด อ.สรรคบุรี จ.ชัยนาท 17140,เขตพื้นที่การศึกษาชัยนาท เขต 1
หัวเด่น,ต.บางขุด อ.สรรคบุรี จ.ชัยนาท 17140,เขตพื้นที่การศึกษาชัยนาท เขต 1
หนองแขม,ต.ดงคอน อ.สรรคบุรี จ.ชัยนาท 17140,เขตพื้นที่การศึกษาชัยนาท เขต 1
หนองแซง,ต.หนองแซง อ.หันคา จ.ชัยนาท 17160,เขตพื้นที่การศึกษาชัยนาท เขต 1
หนองเขื่อนช้าง,ต.หนองยาว อ.เมืองสระบุรี จ.สระบุรี 18000,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองยาวใต้,ต.หนองยาว อ.เมืองสระบุรี จ.สระบุรี 18000,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองยาวสูง,ต.หนองยาว อ.เมืองสระบุรี จ.สระบุรี 18000,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองบัว,ต.ตลิ่งชัน อ.เมืองสระบุรี จ.สระบุรี 18000,เขตพื้นที่การศึกษาสระบุรี เขต 1
ห้วยลี่,ต.ตลิ่งชัน อ.เมืองสระบุรี จ.สระบุรี 18000,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองน้ำเขียว(วันดาคุณอุปถัมภ์),ต.ห้วยแห้ง อ.แก่งคอย จ.สระบุรี 18110,เขตพื้นที่การศึกษาสระบุรี เขต 2
ห้วยคงคาวราวาส,ต.ห้วยแห้ง อ.แก่งคอย จ.สระบุรี 18110,เขตพื้นที่การศึกษาสระบุรี เขต 2
หาดสองแคว(สมบูรณ์วิทยาคาร),ต.ท่าคล้อ อ.แก่งคอย จ.สระบุรี 18110,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองจอกใหญ่,ต.โคกแย้ อ.หนองแค จ.สระบุรี 18230,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองผักชี,ต.โคกแย้ อ.หนองแค จ.สระบุรี 18230,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองสมัคร(มูลนิธิสุขาวดีอุปถัมภ์),ต.โคกแย้ อ.หนองแค จ.สระบุรี 18230,เขตพื้นที่การศึกษาสระบุรี เขต 2
ห้วยขมิ้น,ต.ห้วยขมิ้น อ.หนองแค จ.สระบุรี 18230,เขตพื้นที่การศึกษาสระบุรี เขต 2
ห้วยทองหลาง,ต.ห้วยขมิ้น อ.หนองแค จ.สระบุรี 18220,เขตพื้นที่การศึกษาสระบุรี เขต 2
ห้วยทราย(อดิเรกสารประชานุสรณ์),ต.ห้วยทราย อ.หนองแค จ.สระบุรี 18230,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองอ่างทอง,ต.หนองแขม อ.หนองแค จ.สระบุรี 18140,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองจิก(บุญมีประชานุกูล),ต.หนองจิก อ.หนองแค จ.สระบุรี 18230,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองตะเฆ่,ต.หนองจรเข้ อ.หนองแค จ.สระบุรี 18140,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองตาเดี้ยง,ต.หนองจรเข้ อ.หนองแค จ.สระบุรี 18140,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองครก,ต.หนองนาก อ.หนองแค จ.สระบุรี 18230,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองปลากะดี่,ต.หนองปลาหมอ อ.หนองแค จ.สระบุรี 18140,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองปลาหมอ,ต.หนองปลาหมอ อ.หนองแค จ.สระบุรี 18140,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองปลิง,ต.หนองปลิง อ.หนองแค จ.สระบุรี 18140,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองสะเดา(สุนทรพิทยา),ต.หนองปลิง อ.หนองแค จ.สระบุรี 18140,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองโรง,ต.หนองโรง อ.หนองแค จ.สระบุรี 18140,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองหมูใต้(ไพบูลย์วิทยาคาร),ต.หนองหมู อ.วิหารแดง จ.สระบุรี 18150,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองตาบุญ,ต.บ้านลำ อ.วิหารแดง จ.สระบุรี 18150,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองไทร,ต.คลองเรือ อ.วิหารแดง จ.สระบุรี 18150,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองโพธิ์,ต.หนองสรวง อ.วิหารแดง จ.สระบุรี 18150,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองสรวง(ถิรอุทิศ),ต.หนองสรวง อ.วิหารแดง จ.สระบุรี 18150,เขตพื้นที่การศึกษาสระบุรี เขต 2
หนองกีบม้า,ต.หนองแซง อ.หนองแซง จ.สระบุรี 18170,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองหัวโพ,ต.หนองหัวโพ อ.หนองแซง จ.สระบุรี 18170,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองสีดา,ต.หนองสีดา อ.หนองแซง จ.สระบุรี 18170,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองกบ(ไทยกล้าประชานุกูล),ต.หนองกบ อ.หนองแซง จ.สระบุรี 18170,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองทางบุญ,ต.หนองกบ อ.หนองแซง จ.สระบุรี 18170,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองกะธาตุ,ต.โคกสะอาด อ.หนองแซง จ.สระบุรี 18170,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองสองห้อง,ต.ม่วงหวาน อ.หนองแซง จ.สระบุรี 18170,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองนางปุ๋ย,ต.โคกใหญ่ อ.บ้านหมอ จ.สระบุรี 18130,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองพันเรือ(สำนักงานสลากกินแบ่งฯ),ต.ไผ่ขวาง อ.บ้านหมอ จ.สระบุรี 18130,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองคล้า(สำนักงานสลกกินแบ่งฯ),ต.หนองบัว อ.บ้านหมอ จ.สระบุรี 18130,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองมน(ลอยเคลือบประชานุกูล),ต.บ้านหลวง อ.ดอนพุด จ.สระบุรี 18210,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองระกำ(กำลังดำเนินการล้มเลิก),ต.หนองโดน อ.หนองโดน จ.สระบุรี 18190,เขตพื้นที่การศึกษาสระบุรี เขต 1
หัวถนน,ต.บ้านโปร่ง อ.หนองโดน จ.สระบุรี 18190,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองโป่ง(กำลังดำเนินการล้มเลิก),ต.ห้วยป่าหวาย อ.พระพุทธบาท จ.สระบุรี 18120,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองสุทธะ,ต.ห้วยป่าหวาย อ.พระพุทธบาท จ.สระบุรี 18120,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองคณฑี(พลานุกูล),ต.พุกร่าง อ.พระพุทธบาท จ.สระบุรี 18120,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองจิก,ต.หนองแก อ.พระพุทธบาท จ.สระบุรี 18120,เขตพื้นที่การศึกษาสระบุรี เขต 1
ห้วยหวาย,ต.หัวปลวก อ.เสาไห้ จ.สระบุรี 31130,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองหว้า,ต.พุแค อ.เฉลิมพระเกียรติ จ.สระบุรี 18240,เขตพื้นที่การศึกษาสระบุรี เขต 1
ห้วยบง (บริษัทข้าวไทยจำกัดสงเคราะห์ 3),ต.ห้วยบง อ.เฉลิมพระเกียรติ จ.สระบุรี 18000,เขตพื้นที่การศึกษาสระบุรี เขต 1
หนองน้ำเขียว,ต.คลองกิ่ว อ.บ้านบึง จ.ชลบุรี 20170,เขตพื้นที่การศึกษาชลบุรี เขต 1
หนองบอนแดง,ต.หนองบอนแดง อ.บ้านบึง จ.ชลบุรี 20170,เขตพื้นที่การศึกษาชลบุรี เขต 1
หนองยาง,ต.หนองบอนแดง อ.บ้านบึง จ.ชลบุรี 20170,เขตพื้นที่การศึกษาชลบุรี เขต 1
หนองชันจันทนาราม,ต.หนองอิรุณ อ.บ้านบึง จ.ชลบุรี 20170,เขตพื้นที่การศึกษาชลบุรี เขต 1
หนองเกตุน้อย,ต.หนองปลาไหล อ.บางละมุง จ.ชลบุรี 20150,เขตพื้นที่การศึกษาชลบุรี เขต 3
หนองเกตุใหญ่,ต.หนองปลาไหล อ.บางละมุง จ.ชลบุรี 20150,เขตพื้นที่การศึกษาชลบุรี เขต 3
หนองแช่แว่น,ต.มาบโป่ง อ.พานทอง จ.ชลบุรี 20160,เขตพื้นที่การศึกษาชลบุรี เขต 2
หนองกาน้ำ,ต.หนองหงษ์ อ.พานทอง จ.ชลบุรี 20160,เขตพื้นที่การศึกษาชลบุรี เขต 2
หนองกะขะ,ต.หนองหงษ์ อ.พานทอง จ.ชลบุรี 20160,เขตพื้นที่การศึกษาชลบุรี เขต 2
ห้วยยาง,ต.หนองหงษ์ อ.พานทอง จ.ชลบุรี 20160,เขตพื้นที่การศึกษาชลบุรี เขต 2
หนองปรือ(สามัคคีราษฎร์บำรุง),ต.หนองปรือ อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
หน้าพระธาตุ,ต.หน้าพระธาตุ อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
หลวงพรหมาวาส,ต.วัดหลวง อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
หัวถนน(สภาจังหวัด2502),ต.หัวถนน อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
หนองม่วงใหม่,ต.หนองขยาด อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
หนองสังข์,ต.หนองเหียง อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
หนองคล้า,ต.บึง อ.ศรีราชา จ.ชลบุรี 20230,เขตพื้นที่การศึกษาชลบุรี เขต 3
หนองขาม(ไตรราษฏร์อำรุง),ต.หนองขาม อ.ศรีราชา จ.ชลบุรี 20280,เขตพื้นที่การศึกษาชลบุรี เขต 3
หนองจับเต่า,ต.นาจอมเทียน อ.สัตหีบ จ.ชลบุรี 20250,เขตพื้นที่การศึกษาชลบุรี เขต 3
หนองสนม,ต.เนินพระ อ.เมืองระยอง จ.ระยอง 21000,เขตพื้นที่การศึกษาระยอง เขต 1
ห้วยโป่ง,ต.ห้วยโป่ง อ.เมืองระยอง จ.ระยอง 21150,เขตพื้นที่การศึกษาระยอง เขต 1
หนองกันเกรา,ต.ทางเกวียน อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
หนองกะพ้อ,ต.ทุ่งควายกิน อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
หนองกระบอก,ต.หนองละลอก อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
หนองตะแบก,ต.ตาขัน อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
หนองพะวา,ต.บางบุตร อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
หวายกรอง,ต.บางบุตร อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
หนองกรับ,ต.หนองบัว อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
ห้วงหิน,ต.ชากบก อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
หนองบัว,ต.หนองบัว อ.เมืองจันทบุรี จ.จันทบุรี 22000,เขตพื้นที่การศึกษาจันทบุรี เขต 1
หนองคัน,ต.ตะกาดเง้า อ.ท่าใหม่ จ.จันทบุรี 22120,เขตพื้นที่การศึกษาจันทบุรี เขต 1
หมูดุด,ต.คลองขุด อ.ท่าใหม่ จ.จันทบุรี 22120,เขตพื้นที่การศึกษาจันทบุรี เขต 1
หนองชิ่ม,ต.หนองชิ่ม อ.แหลมสิงห์ จ.จันทบุรี 22130,เขตพื้นที่การศึกษาจันทบุรี เขต 2
หนองแหวน,ต.กระแจะ อ.นายายอาม จ.จันทบุรี 22170,เขตพื้นที่การศึกษาจันทบุรี เขต 1
หนองสีงา (ประถมบูรณ์รัฐราษฎร์สงเคราะห์),ต.วังใหม่ อ.นายายอาม จ.จันทบุรี 22170,เขตพื้นที่การศึกษาจันทบุรี เขต 1
หนองเสม็ด (อรรถพรสงเคราะห์),ต.หนองเสม็ด อ.เมืองตราด จ.ตราด 23000,เขตพื้นที่การศึกษาตราด เขต 1
หนองคันทรง,ต.หนองคันทรง อ.เมืองตราด จ.ตราด 23000,เขตพื้นที่การศึกษาตราด เขต 1
ห้วงน้ำขาว,ต.ห้วงน้ำขาว อ.เมืองตราด จ.ตราด 23000,เขตพื้นที่การศึกษาตราด เขต 1
ห้วงโสม,ต.ไม้รูด อ.คลองใหญ่ จ.ตราด 23110,เขตพื้นที่การศึกษาตราด เขต 1
หนามแดง,ต.หนามแดง อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
หัวสวน,ต.เสม็ดใต้ อ.บางคล้า จ.ฉะเชิงเทรา 24110,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หัวไทร,ต.หัวไทร อ.บางคล้า จ.ฉะเชิงเทรา 24110,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หลวงแพ่ง,ต.ศาลาแดง อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา 24150,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
หล่อเจริญราษฎร์วราราม,ต.หอมศีล อ.บางปะกง จ.ฉะเชิงเทรา 24180,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
หนองกระสังสามัคคี,ต.แหลมประดู่ อ.บ้านโพธิ์ จ.ฉะเชิงเทรา 24140,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
หนองเสือ,ต.เกาะขนุน อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หัวกระสังข์,ต.บ้านซ่อง อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หนองปาตอง,ต.หนองยาว อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หนองเค็ด (ศักดิ์ศิลป์บุญลือราษฏร์),ต.ท่าถ่าน อ.พนมสารคาม จ.ฉะเชิงเทรา 24110,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หนองบัว,ต.หนองแหน อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หนองแหน,ต.หนองแหน อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หนองปรือ,ต.เขาหินซ้อน อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
หินดาษ,ต.ดงน้อย อ.ราชสาส์น จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
