น้อยนพคุณ,แขวงถนนนครไชยศรี เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
นครโปรดสัตว์,ต.คลองน้อย อ.บ้านแพรก จ.พระนครศรีอยุธยา 14000,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
นางเล่ว,ต.ชัยฤทธิ์ อ.ไชโย จ.อ่างทอง 14140,เขตพื้นที่การศึกษาอ่างทอง เขต 1
น้ำอาบ,ต.อินทประมูล อ.โพธิ์ทอง จ.อ่างทอง 14120,เขตพื้นที่การศึกษาอ่างทอง เขต 1
น้อย,ต.ยี่ล้น อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
นางชำ,ต.คลองขนาก อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
น้ำพุ,ต.สี่ร้อย อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
นิคมสามัคคีชัย,ต.นิคมสร้างตนเอง อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
น้ำจั้น,ต.ไผ่ใหญ่ อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
น้อยนางหงษ์,ต.สิงห์ อ.บางระจัน จ.สิงห์บุรี 16130,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
น้ำผึ้ง,ต.โพชนไก่ อ.บางระจัน จ.สิงห์บุรี 16130,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
น้อย,ต.งิ้วราย อ.อินทร์บุรี จ.สิงห์บุรี 16110,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
นางลือ,ต.นางลือ อ.เมืองชัยนาท จ.ชัยนาท 17000,เขตพื้นที่การศึกษาชัยนาท เขต 1
นมโฑ(สำนักงานสลากกินแบ่งสมทบสร้าง338),ต.เขาแก้ว อ.สรรพยา จ.ชัยนาท 17150,เขตพื้นที่การศึกษาชัยนาท เขต 1
นาร่อง,ต.หนองโน อ.เมืองสระบุรี จ.สระบุรี 18000,เขตพื้นที่การศึกษาสระบุรี เขต 1
นาบุญ,ต.ตาลเดี่ยว อ.แก่งคอย จ.สระบุรี 18110,เขตพื้นที่การศึกษาสระบุรี เขต 2
นายาว(สำนักงานสลากินแบ่งฯ),ต.นายาว อ.พระพุทธบาท จ.สระบุรี 18120,เขตพื้นที่การศึกษาสระบุรี เขต 1
น้อยสามัคคีธรรม(ซับกระทิงเหนือ),ต.วังม่วง อ.วังม่วง จ.สระบุรี 18220,เขตพื้นที่การศึกษาสระบุรี เขต 2
นาเขื่อน,ต.นาป่า อ.เมืองชลบุรี จ.ชลบุรี 20000,เขตพื้นที่การศึกษาชลบุรี เขต 1
นากระรอก,ต.ทุ่งขวาง อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
นาวังหิน,ต.นาวังหิน อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
นาพร้าว,ต.สุรศักดิ์ อ.ศรีราชา จ.ชลบุรี 20110,เขตพื้นที่การศึกษาชลบุรี เขต 3
นาจอมเทียน,ต.นาจอมเทียน อ.สัตหีบ จ.ชลบุรี 20250,เขตพื้นที่การศึกษาชลบุรี เขต 3
นาตาขวัญ,ต.นาตาขวัญ อ.เมืองระยอง จ.ระยอง 21000,เขตพื้นที่การศึกษาระยอง เขต 1
น้ำคอก,ต.น้ำคอก อ.เมืองระยอง จ.ระยอง 21000,เขตพื้นที่การศึกษาระยอง เขต 1
น้ำรัก,ต.ท่าหลวง อ.มะขาม จ.จันทบุรี 22150,เขตพื้นที่การศึกษาจันทบุรี เขต 2
นายายอาม,ต.นายายอาม อ.นายายอาม จ.จันทบุรี 22160,เขตพื้นที่การศึกษาจันทบุรี เขต 1
นาซา,ต.กระแจะ อ.นายายอาม จ.จันทบุรี 22170,เขตพื้นที่การศึกษาจันทบุรี เขต 1
น้ำขุ่น,ต.คลองพลู อ.เขาคิชฌกูฏ จ.จันทบุรี 22210,เขตพื้นที่การศึกษาจันทบุรี เขต 2
นิโครธาราม,ต.ท่าไข่ อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
นครเนื่องเขต,ต.วังตะเคียน อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
นาคู,ต.บางกะไห อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
นีลราษฎร์ศรัทธาบำรุง,ต.โพรงอากาศ อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา 24150,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
นาน้อย,ต.เกาะขนุน อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
นาเหล่าบก,ต.หนองยาว อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
น้ำฉ่า,ต.ดงน้อย อ.ราชสาส์น จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
นิโครธาวาส,ต.ดงขี้เหล็ก อ.เมืองปราจีนบุรี จ.ปราจีนบุรี 25000,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
นพคุณทอง,ต.หนองโพรง อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
นาหินลาด,ต.นาหินลาด อ.ปากพลี จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
น้ำไหล,ต.สะเดา อ.นางรอง จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
นาดีวราราม,ต.บรบือ อ.บรบือ จ.มหาสารคาม 44130,เขตพื้นที่การศึกษามหาสารคาม เขต 2
นาเม็ง,ต.แม่หอพระ อ.แม่แตง จ.เชียงใหม่ 50150,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
น้ำริน,ต.สะเมิงใต้ อ.สะเมิง จ.เชียงใหม่,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
นันทาราม,ต.สันทราย อ.ฝาง จ.เชียงใหม่ 50110,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
น้ำบ่อหลวง,ต.น้ำบ่อหลวง อ.สันป่าตอง จ.เชียงใหม่ 50120,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
น้ำจำ,ต.ร้องวัวแดง อ.สันกำแพง จ.เชียงใหม่ 50130,เขตพื้นที่การศึกษาเชียงใหม่ เขต 1
นันทาราม,ต.ไชยสถาน อ.สารภี จ.เชียงใหม่ 50140,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
น้ำพุ,ต.ป่าสัก อ.เมืองลำพูน จ.ลำพูน 51000,เขตพื้นที่การศึกษาลำพูน เขต 1
น้ำดิบ,ต.น้ำดิบ อ.ป่าซาง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 1
นครเจดีย์,ต.นครเจดีย์ อ.ป่าซาง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 1
นาน้อย,ต.ปงแสนทอง อ.เมืองลำปาง จ.ลำปาง 52000,เขตพื้นที่การศึกษาลำปาง เขต 1
น้ำโท้ง,ต.บ่อแฮ้ว อ.เมืองลำปาง จ.ลำปาง 52100,เขตพื้นที่การศึกษาลำปาง เขต 1
นางเหลียว,ต.ลำปางหลวง อ.เกาะคา จ.ลำปาง 52130,เขตพื้นที่การศึกษาลำปาง เขต 2
นาแก้ว,ต.นาแส่ง อ.เกาะคา จ.ลำปาง 52130,เขตพื้นที่การศึกษาลำปาง เขต 2
นาเอี้ยง,ต.เสริมกลาง อ.เสริมงาม จ.ลำปาง 52210,เขตพื้นที่การศึกษาลำปาง เขต 2
นาขุม,ต.นาขุม อ.บ้านโคก จ.อุตรดิตถ์ 53180,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 2
นาทะเล,ต.ชัยจุมพล อ.ลับแล จ.อุตรดิตถ์ 53130,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
น้ำใส,ต.ชัยจุมพล อ.ลับแล จ.อุตรดิตถ์ 53130,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
น้ำโค้ง(คำหล้าราษฎร์นุกูล),ต.ป่าแมต อ.เมืองแพร่ จ.แพร่ 54000,เขตพื้นที่การศึกษาแพร่ เขต 1
นิเวศวุฒาราม,ต.บางม่วง อ.เมืองนครสวรรค์ จ.นครสวรรค์ 60000,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
นากลาง,ต.นากลาง อ.โกรกพระ จ.นครสวรรค์ 60170,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
น้ำทรง,ต.น้ำทรง อ.พยุหะคีรี จ.นครสวรรค์ 60130,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
น้อยวรลักษณ์,ต.แสนตอ อ.ขาณุวรลักษบุรี จ.กำแพงเพชร 62130,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
นาขุม,ต.ท่าช้าง อ.พรหมพิราม จ.พิษณุโลก 65150,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
นาขาม,ต.บ้านยาง อ.วัดโบสถ์ จ.พิษณุโลก 65160,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
น้ำคบ,ต.บ้านยาง อ.วัดโบสถ์ จ.พิษณุโลก 65160,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
น้ำโจนเหนือ,ต.หัวดง อ.เมืองพิจิตร จ.พิจิตร 66170,เขตพื้นที่การศึกษาพิจิตร เขต 1
น้ำเคือง,ต.ท้ายทุ่ง อ.ทับคล้อ จ.พิจิตร 66150,เขตพื้นที่การศึกษาพิจิตร เขต 2
น้ำพุ,ต.น้ำพุ อ.เมืองราชบุรี จ.ราชบุรี 70000,เขตพื้นที่การศึกษาราชบุรี เขต 1
นาหนอง(วิธานราษฎร์อนุกูล),ต.ดอนแร่ อ.เมืองราชบุรี จ.ราชบุรี 70000,เขตพื้นที่การศึกษาราชบุรี เขต 1
นาสมอ,ต.ปากช่อง อ.จอมบึง จ.ราชบุรี 70150,เขตพื้นที่การศึกษาราชบุรี เขต 1
นาขุนแสน,ต.สวนผึ้ง อ.สวนผึ้ง จ.ราชบุรี 70180,เขตพื้นที่การศึกษาราชบุรี เขต 1
นางแก้ว,ต.นางแก้ว อ.โพธาราม จ.ราชบุรี 70120,เขตพื้นที่การศึกษาราชบุรี เขต 2
นาพระยา,ต.หนองโรง อ.พนมทวน จ.กาญจนบุรี 71140,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
นิเวศน์ธรรมาราม,ต.ดอนกำยาน อ.เมืองสุพรรณบุรี จ.สุพรรณบุรี 72000,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
นางบวช,ต.นางบวช อ.เดิมบางนางบวช จ.สุพรรณบุรี 72120,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
น้ำพุ,ต.หัวเขา อ.เดิมบางนางบวช จ.สุพรรณบุรี 72120,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
นางพิมพ์,ต.วังลึก อ.สามชุก จ.สุพรรณบุรี 72130,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
นันทวัน,ต.สระพังลาน อ.อู่ทอง จ.สุพรรณบุรี 72160,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
นิยมธรรมวราราม,ต.ทุ่งบัว อ.กำแพงแสน จ.นครปฐม 73140,เขตพื้นที่การศึกษานครปฐม เขต 1
น้อย,ต.ท่าพระยา อ.นครชัยศรี จ.นครปฐม 73120,เขตพื้นที่การศึกษานครปฐม เขต 2
นิลเพชร,ต.นิลเพชร อ.บางเลน จ.นครปฐม 73130,เขตพื้นที่การศึกษานครปฐม เขต 2
นราภิรมย์,ต.นราภิรมย์ อ.บางเลน จ.นครปฐม 73130,เขตพื้นที่การศึกษานครปฐม เขต 2
นาขวาง,ต.กาหลง อ.เมืองสมุทรสาคร จ.สมุทรสาคร 74000,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
น่วมกานนท์,ต.ชัยมงคล อ.เมืองสมุทรสาคร จ.สมุทรสาคร 74000,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
นางสาว,ต.ท่าไม้ อ.กระทุ่มแบน จ.สมุทรสาคร 74110,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
นางพิมพ์(สมกิตติราษฎร์บำรุง),ต.บางขันแตก อ.เมืองสมุทรสงคราม จ.สมุทรสงคราม 75000,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
น้อยแสงจันทร์(จันทร์ศิริวิทยาคาร),ต.ลาดใหญ่ อ.เมืองสมุทรสงคราม จ.สมุทรสงคราม 75000,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
นาพรม (มนมหาวิริยาคาร),ต.นาพันสาม อ.เมืองเพชรบุรี จ.เพชรบุรี 76000,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
นาค (แบ่งอุทิศวิทยาคาร),ต.ช่องสะแก อ.เมืองเพชรบุรี จ.เพชรบุรี 76000,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
นอกปากทะเล,ต.ปากทะเล อ.บ้านแหลม จ.เพชรบุรี 76110,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
นาล้อม,ต.เขาล้าน อ.ทับสะแก จ.ประจวบคีรีขันธ์ 77130,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 1
นาหูกวาง,ต.เขาล้าน อ.ทับสะแก จ.ประจวบคีรีขันธ์ 77130,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 1
นาผักขวง,ต.กำเนิดนพคุณ อ.บางสะพาน จ.ประจวบคีรีขันธ์ 77140,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 1
นาห้วย,ต.ปราณบุรี อ.ปราณบุรี จ.ประจวบคีรีขันธ์ 77120,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 2
นารีประดิษฐ์,ต.ท่าไร่ อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
นางพระยา,ต.ปากนคร อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
น้ำสรง,ต.นาทราย อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80280,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
น้ำรอบ เมืองนครศรีธรรมราช,ต.ไชยมนตรี อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
นาวง,ต.ท่าซัก อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
นากัน,ต.นาเรียง อ.พรหมคีรี จ.นครศรีธรรมราช 80320,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
น้ำรอบ ลานสกา,ต.ลานสกา อ.ลานสกา จ.นครศรีธรรมราช 80230,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
นาเขลียง,ต.นาเขลียง อ.ฉวาง จ.นครศรีธรรมราช 80260,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
นางเอื้อย,ต.กะทูน อ.พิปูน จ.นครศรีธรรมราช 80270,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
นางตรา,ต.ท่าศาลา อ.ท่าศาลา จ.นครศรีธรรมราช 80160,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
นากุน,ต.สระแก้ว อ.ท่าศาลา จ.นครศรีธรรมราช 80160,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
น้ำตก,ต.สระแก้ว อ.ท่าศาลา จ.นครศรีธรรมราช 80160,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
นิคมคีรี,ต.เขาขาว อ.ทุ่งสง จ.นครศรีธรรมราช 80110,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
นาหมอบุญ,ต.นาหมอบุญ อ.จุฬาภรณ์ จ.นครศรีธรรมราช 80130,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
นาเหรง,ต.นาเหรง อ.นบพิตำ จ.นครศรีธรรมราช 80160,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
นทีมุขาราม,ต.ปลายพระยา อ.ปลายพระยา จ.กระบี่ 81160,เขตพื้นที่การศึกษากระบี่ เขต 1
นารายณิการาม,ต.เหล อ.กะปง จ.พังงา 82170,เขตพื้นที่การศึกษาพังงา เขต 1
นากลางมิตรภาพที่ 163,ต.หล่อยูง อ.ตะกั่วทุ่ง จ.พังงา 82140,เขตพื้นที่การศึกษาพังงา เขต 1
นิโครธาราม,ต.ทับปุด อ.ทับปุด จ.พังงา 82180,เขตพื้นที่การศึกษาพังงา เขต 1
นิโครธคุณากร,ต.มะรุ่ย อ.ทับปุด จ.พังงา 82180,เขตพื้นที่การศึกษาพังงา เขต 1
นทีคมเขต,ต.คลองฉนาก อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84000,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
นิกรประสาท,ต.ตะเคียนทอง อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84160,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
นทีวัฒนาราม,ต.ชลคราม อ.ดอนสัก จ.สุราษฎร์ธานี 84160,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
นอก,ต.ไชยคราม อ.ดอนสัก จ.สุราษฎร์ธานี 84220,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
นาราเจริญสุข,ต.ลิปะน้อย อ.เกาะสมุย จ.สุราษฎร์ธานี 84140,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
นิลาราม,ต.บ้านยาง อ.คีรีรัฐนิคม จ.สุราษฎร์ธานี 84180,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
น้ำหัก,ต.น้ำหัก อ.คีรีรัฐนิคม จ.สุราษฎร์ธานี 84180,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
นันทาราม,ต.ท่าเคย อ.ท่าฉาง จ.สุราษฎร์ธานี 84151,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
น้ำพุ,ต.เขาถ่าน อ.ท่าฉาง จ.สุราษฎร์ธานี 84150,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
น้ำพุ,ต.น้ำพุ อ.บ้านนาสาร จ.สุราษฎร์ธานี 84120,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
นาคาวาส,ต.ท่าโรงช้าง อ.พุนพิน จ.สุราษฎร์ธานี 84130,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
น้ำรอบ,ต.น้ำรอบ อ.พุนพิน จ.สุราษฎร์ธานี 84130,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
นาทุ่ง,ต.นาทุ่ง อ.เมืองชุมพร จ.ชุมพร 86000,เขตพื้นที่การศึกษาชุมพร เขต 1
น้อมถวาย,ต.วังใหม่ อ.เมืองชุมพร จ.ชุมพร 86000,เขตพื้นที่การศึกษาชุมพร เขต 1
นพคุณ,ต.นาขา อ.หลังสวน จ.ชุมพร 86110,เขตพื้นที่การศึกษาชุมพร เขต 2
นาทิการาม,ต.บางมะพร้าว อ.หลังสวน จ.ชุมพร 86110,เขตพื้นที่การศึกษาชุมพร เขต 2
นาสัก,ต.นาสัก อ.สวี จ.ชุมพร 86130,เขตพื้นที่การศึกษาชุมพร เขต 2
นางเหล้า,ต.ชุมพล อ.สทิงพระ จ.สงขลา 90190,เขตพื้นที่การศึกษาสงขลา เขต 1
นาปรือ,ต.คู อ.จะนะ จ.สงขลา 90130,เขตพื้นที่การศึกษาสงขลา เขต 3
นาหมอศรี,ต.นาหมอศรี อ.นาทวี จ.สงขลา 90160,เขตพื้นที่การศึกษาสงขลา เขต 3
นิคมประสาท (บุญชอบ สาครินทร์),ต.เกาะสะบ้า อ.เทพา จ.สงขลา 90150,เขตพื้นที่การศึกษาสงขลา เขต 3
นาหม่อม,ต.นาหม่อม อ.นาหม่อม จ.สงขลา 90310,เขตพื้นที่การศึกษาสงขลา เขต 1
นารังนก,ต.แม่ทอม อ.บางกล่ำ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
นานอน,ต.นาท่ามใต้ อ.เมืองตรัง จ.ตรัง 92190,เขตพื้นที่การศึกษาตรัง เขต 1
นานอน สาขาบ้านทุ่งโดนทอง,อ.เมืองตรัง จ.ตรัง 92190,เขตพื้นที่การศึกษาตรัง เขต 1
นานอน สาขาบ้านพิกุลลอย,อ.เมืองตรัง จ.ตรัง 92190,เขตพื้นที่การศึกษาตรัง เขต 1
นานอน สาขาบ้านยางงาม,อ.เมืองตรัง จ.ตรัง 92190,เขตพื้นที่การศึกษาตรัง เขต 1
น้ำผุด,อ.เมืองตรัง จ.ตรัง 92000,เขตพื้นที่การศึกษาตรัง เขต 1
นิคมประทีป สาขาวัดควน,อ.เมืองตรัง จ.ตรัง 92000,เขตพื้นที่การศึกษาตรัง เขต 1
นิคมประทีป,อ.เมืองตรัง จ.ตรัง 92000,เขตพื้นที่การศึกษาตรัง เขต 1
นิกรรังสฤษฎ์,ต.ย่านตาขาว อ.ย่านตาขาว จ.ตรัง 92140,เขตพื้นที่การศึกษาตรัง เขต 1
นาวง,ต.บางกุ้ง อ.ห้วยยอด จ.ตรัง 92210,เขตพื้นที่การศึกษาตรัง เขต 2
น้ำฉ่า,อ.วังวิเศษ จ.ตรัง 92220,เขตพื้นที่การศึกษาตรัง เขต 2
นางประหลาด,ต.โคกสะบ้า อ.นาโยง จ.ตรัง 92170,เขตพื้นที่การศึกษาตรัง เขต 1
นาท่อม,อ.เมืองพัทลุง จ.พัทลุง 93000,เขตพื้นที่การศึกษาพัทลุง เขต 1
นาปะขอ,อ.บางแก้ว จ.พัทลุง 93140,เขตพื้นที่การศึกษาพัทลุง เขต 1
นาหม่อม (เชนวิทยา),อ.บางแก้ว จ.พัทลุง 93140,เขตพื้นที่การศึกษาพัทลุง เขต 1
นาประดู่,อ.โคกโพธิ์ จ.ปัตตานี 94120,เขตพื้นที่การศึกษาปัตตานี เขต 2
นิคมสถิต,อ.โคกโพธิ์ จ.ปัตตานี 94180,เขตพื้นที่การศึกษาปัตตานี เขต 2
นิโครธาวาส,อ.รามัน จ.ยะลา 95140,เขตพื้นที่การศึกษายะลา เขต 1