คู้บอน (วัฒนานันท์อุทิศ),แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร 10510,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
คลองสน,ต.เกาะช้าง อ.เกาะช้าง จ.ตราด 23170,เขตพื้นที่การศึกษาตราด เขต 1
คูมอญ,ต.หัวไทร อ.บางคล้า จ.ฉะเชิงเทรา 24110,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
คลอง 18,ต.หมอนทอง อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา 24150,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
คลองเจ้า,ต.ศาลาแดง อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา 24150,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
คลองสวน,ต.เกาะไร่ อ.บ้านโพธิ์ จ.ฉะเชิงเทรา 24140,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
คลองต้นหมัน,ต.คลองบ้านโพธิ์ อ.บ้านโพธิ์ จ.ฉะเชิงเทรา 24140,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
คลองบ้านโพธิ์,ต.คลองบ้านโพธิ์ อ.บ้านโพธิ์ จ.ฉะเชิงเทรา 24140,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
คลองเขื่อน,ต.คลองเขื่อน อ.คลองเขื่อน จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
คุ้งกร่าง,ต.บางตลาด อ.คลองเขื่อน จ.ฉะเชิงเทรา 24140,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
คลองเฆ๋,ต.บางยาง อ.บ้านสร้าง จ.ปราจีนบุรี 25150,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
คำภู,ต.คำโตนด อ.ประจันตคาม จ.ปราจีนบุรี 25130,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
คู้ลำพัน,ต.คู้ลำพัน อ.ศรีมโหสถ จ.ปราจีนบุรี 25190,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
คลองโพธิ์,ต.ดงละคร อ.เมืองนครนายก จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
คีรีวัน,ต.ศรีนาวา อ.เมืองนครนายก จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
คลองตาสูตรสามัคคี,ต.คลองหินปูน อ.วังน้ำเย็น จ.สระแก้ว 27210,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คีรีเขต,ต.บ้านปง อ.หางดง จ.เชียงใหม่ 50230,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
ค่ากลาง,ต.บ้านค่า อ.เมืองลำปาง จ.ลำปาง 52000,เขตพื้นที่การศึกษาลำปาง เขต 1
คุ้งวารี,ต.บ้านเกาะ อ.เมืองอุตรดิตถ์ จ.อุตรดิตถ์ 53000,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
คุ้งยาง,ต.บ้านด่าน อ.เมืองอุตรดิตถ์ จ.อุตรดิตถ์ 53000,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
คลองนาพง,ต.ผาจุก อ.เมืองอุตรดิตถ์ จ.อุตรดิตถ์ 53000,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
คลองนาพง สาขาวัดผาจุก (รอยุบเลิก),ต.ผาจุก อ.เมืองอุตรดิตถ์ จ.อุตรดิตถ์ 5300,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
คลองคาง(แดงประชานุกูล),ต.บึงเสนาท อ.เมืองนครสวรรค์ จ.นครสวรรค์ 60000,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
คลองยาง (ประชาพัฒนา),ต.บางเคียน อ.ชุมแสง จ.นครสวรรค์ 60120,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
คลองเกษมใต้,ต.ไผ่สิงห์ อ.ชุมแสง จ.นครสวรรค์ 60120,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
คลองเกษมเหนือ,ต.ไผ่สิงห์ อ.ชุมแสง จ.นครสวรรค์ 60120,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
คลองสองหน่อ,ต.ตาสัง อ.บรรพตพิสัย จ.นครสวรรค์ 60180,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
คลองธรรม,ต.หนองกรด อ.บรรพตพิสัย จ.นครสวรรค์ 60180,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
คลองจินดา,ต.หนองตางู อ.บรรพตพิสัย จ.นครสวรรค์ 60180,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
คร่อเรียงราย,ต.พนมเศษ อ.ท่าตะโก จ.นครสวรรค์ 60160,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
คลองบางเดื่อ,ต.น้ำทรง อ.พยุหะคีรี จ.นครสวรรค์ 60130,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
คลองสาลี,ต.ลาดยาว อ.ลาดยาว จ.นครสวรรค์ 60150,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
คูยาง,ต.ในเมือง อ.เมืองกำแพงเพชร จ.กำแพงเพชร 62000,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
คูหาสวรรค์ สาขาบ้านโอ่งทานราษฎร์บำรุง,ต.บ่อถ้ำ อ.ขาณุวรลักษบุรี จ.กำแพงเพชร 62140,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
คูหาสวรรค์,ต.บ่อถ้ำ อ.ขาณุวรลักษบุรี จ.กำแพงเพชร 62140,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
คลองเจริญ,ต.ท่าพุทรา อ.คลองขลุง จ.กำแพงเพชร 62120,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
คงคาราม,ต.แม่ลาด อ.คลองขลุง จ.กำแพงเพชร 62120,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
คูหาสุวรรณ (วันครู2504),ต.ธานี อ.เมืองสุโขทัย จ.สุโขทัย 64000,เขตพื้นที่การศึกษาสุโขทัย เขต 1
คุ้งยางใหญ่,ต.บ้านสวน อ.เมืองสุโขทัย จ.สุโขทัย 64000,เขตพื้นที่การศึกษาสุโขทัย เขต 1
คุ้งยาง,ต.ไกรนอก อ.กงไกรลาศ จ.สุโขทัย 64170,เขตพื้นที่การศึกษาสุโขทัย เขต 1
คลองโป่ง(ธรรมภาณบำรุง),ต.สามเรือน อ.ศรีสำโรง จ.สุโขทัย 64120,เขตพื้นที่การศึกษาสุโขทัย เขต 2
คลองกระจง,ต.คลองกระจง อ.สวรรคโลก จ.สุโขทัย 64110,เขตพื้นที่การศึกษาสุโขทัย เขต 2
คุ้งยาง,ต.ป่ากุมเกาะ อ.สวรรคโลก จ.สุโขทัย 64110,เขตพื้นที่การศึกษาสุโขทัย เขต 2
คุ้งวารี(อำพันอุปถัมภ์),ต.ท่าโพธิ์ อ.เมืองพิษณุโลก จ.พิษณุโลก 65000,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
คุยขวาง,ต.คุยม่วง อ.บางระกำ จ.พิษณุโลก 65240,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
คุยม่วง,ต.คุยม่วง อ.บางระกำ จ.พิษณุโลก 65240,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
คลองมะเกลือ,ต.ศรีภิรมย์ อ.พรหมพิราม จ.พิษณุโลก 65180,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
คลองตาล(ศรีรัตนประชานุกูล),ต.หนองแขม อ.พรหมพิราม จ.พิษณุโลก 65150,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
คันโช้ง,ต.คันโช้ง อ.วัดโบสถ์ จ.พิษณุโลก 65160,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
คลองโนน,ต.คลองคะเชนทร์ อ.เมืองพิจิตร จ.พิจิตร 66000,เขตพื้นที่การศึกษาพิจิตร เขต 1
คลองทองหลาง,ต.ห้วยเกตุ อ.ตะพานหิน จ.พิจิตร 66110,เขตพื้นที่การศึกษาพิจิตร เขต 2
คลองแขก,ต.คลองคูณ อ.ตะพานหิน จ.พิจิตร 66110,เขตพื้นที่การศึกษาพิจิตร เขต 2
คลองคูณ,ต.คลองคูณ อ.ตะพานหิน จ.พิจิตร 66110,เขตพื้นที่การศึกษาพิจิตร เขต 2
คลองข่อย,ต.ไผ่หลวง อ.ตะพานหิน จ.พิจิตร 66110,เขตพื้นที่การศึกษาพิจิตร เขต 2
คงคาราม,ต.บางคลาน อ.โพทะเล จ.พิจิตร 66130,เขตพื้นที่การศึกษาพิจิตร เขต 2
คุ้งกระถิน(ราษฎร์สามัคคีอุทิศ),ต.คุ้งน้ำวน อ.เมืองราชบุรี จ.ราชบุรี 70000,เขตพื้นที่การศึกษาราชบุรี เขต 1
คูหาสวรรค์,ต.สี่หมื่น อ.ดำเนินสะดวก จ.ราชบุรี 70130,เขตพื้นที่การศึกษาราชบุรี เขต 2
คงคาราม(อินทราชผดุงศิลป),ต.คลองตาคต อ.โพธาราม จ.ราชบุรี 70120,เขตพื้นที่การศึกษาราชบุรี เขต 2
คร้อพนัน,ต.ท่าไม้ อ.ท่ามะกา จ.กาญจนบุรี 71120,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
คันทด,ต.ท่าระหัด อ.เมืองสุพรรณบุรี จ.สุพรรณบุรี 72000,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
คูเมือง,ต.ทุ่งคลี อ.เดิมบางนางบวช จ.สุพรรณบุรี 72120,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
คอกช้าง,ต.องค์พระ อ.ด่านช้าง จ.สุพรรณบุรี 72180,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
คลองโมง,ต.องครักษ์ อ.บางปลาม้า จ.สุพรรณบุรี 72150,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
คูบัว,ต.วัดดาว อ.บางปลาม้า จ.สุพรรณบุรี 72150,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
คลองขอม,ต.สามชุก อ.สามชุก จ.สุพรรณบุรี 72130,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
คลองตัน,ต.สระยายโสม อ.อู่ทอง จ.สุพรรณบุรี 72160,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
คณฑี,ต.หนองโอ่ง อ.อู่ทอง จ.สุพรรณบุรี 72160,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
คอกวัว,ต.หนองโอ่ง อ.อู่ทอง จ.สุพรรณบุรี 72160,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
คีรีรัตนาราม,ต.ดอนคา อ.อู่ทอง จ.สุพรรณบุรี 72160,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
คีรีเจริญผล,ต.พลับพลาไชย อ.อู่ทอง จ.สุพรรณบุรี 72160,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
คลองครุ,ต.ท่าทราย อ.เมืองสมุทรสาคร จ.สมุทรสาคร 74000,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
คลองตันราษฎร์บํารุง,ต.เกษตรพัฒนา อ.บ้านแพ้ว จ.สมุทรสาคร 74120,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
คู้สนามจันทร์(สามัคคีราษฎร์รังสรรค์),ต.บ้านปรก อ.เมืองสมุทรสงคราม จ.สมุทรสงคราม 75000,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
คู้สนามจันทร์สาขาวัดศรีศรัทธาธรรม,ต.คลองเขิน อ.เมืองสมุทรสงคราม จ.สมุทรสงคราม 75000,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
คลองโคน,ต.คลองโคน อ.เมืองสมุทรสงคราม จ.สมุทรสงคราม 75000,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
คุ้งตำหนัก,ต.บางตะบูน อ.บ้านแหลม จ.เพชรบุรี 76110,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
คีรีกันทร์,ต.เขาแก้ว อ.ลานสกา จ.นครศรีธรรมราช 80230,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
ควนสูง,ต.ฉวาง อ.ฉวาง จ.นครศรีธรรมราช 80250,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
ควนยูง,ต.นาแว อ.ฉวาง จ.นครศรีธรรมราช 80260,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
ควนสะตอ,ต.ไสหร้า อ.ฉวาง จ.นครศรีธรรมราช 80150,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
คลองขยัน,ต.บ้านกลาง อ.เชียรใหญ่ จ.นครศรีธรรมราช 80190,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
คงคาวดี,ต.ไสหมาก อ.เชียรใหญ่ จ.นครศรีธรรมราช 80190,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ควนสมบูรณ์,ต.ท่าประจะ อ.ชะอวด จ.นครศรีธรรมราช 80180,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ควนเคร็ง,ต.เคร็ง อ.ชะอวด จ.นครศรีธรรมราช 80180,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ควนป้อม,ต.เคร็ง อ.ชะอวด จ.นครศรีธรรมราช 80180,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ควนยาว,ต.เคร็ง อ.ชะอวด จ.นครศรีธรรมราช 80180,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ควนใส,ต.ขอนหาด อ.ชะอวด จ.นครศรีธรรมราช 80180,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ควนเถียะ,ต.นางหลง อ.ชะอวด จ.นครศรีธรรมราช 80180,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
คงคาเจริญ,ต.หนองหงส์ อ.ทุ่งสง จ.นครศรีธรรมราช 80110,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
ควนชม,ต.ที่วัง อ.ทุ่งสง จ.นครศรีธรรมราช 80110,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
ควนสระบัว,ต.ท่ายาง อ.ทุ่งใหญ่ จ.นครศรีธรรมราช 80240,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
ควนยูง,ต.ทุ่งสัง อ.ทุ่งใหญ่ จ.นครศรีธรรมราช 80110,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
คลังสินธาราม,ต.ทุ่งใหญ่ อ.ทุ่งใหญ่ จ.นครศรีธรรมราช 80240,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
คงคาเลียบ,ต.กุแหระ อ.ทุ่งใหญ่ จ.นครศรีธรรมราช 80240,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
ควน,ต.ปริก อ.ทุ่งใหญ่ จ.นครศรีธรรมราช 80240,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
คลองน้อย,ต.คลองน้อย อ.ปากพนัง จ.นครศรีธรรมราช 80330,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ควนเกย,ต.ควนเกย อ.ร่อนพิบูลย์ จ.นครศรีธรรมราช 80130,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
คันธมาลี,ต.ควนชุม อ.ร่อนพิบูลย์ จ.นครศรีธรรมราช 80130,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
คงคาเลียบ,ต.ฉลอง อ.สิชล จ.นครศรีธรรมราช 80120,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
คงคาวดี,ต.เสาเภา อ.สิชล จ.นครศรีธรรมราช 80340,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
คีรีวง,ต.ท้องเนียน อ.ขนอม จ.นครศรีธรรมราช 80210,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
ควนชะลิก,ต.ควนชะลิก อ.หัวไทร จ.นครศรีธรรมราช 80170,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ควนกอ,ต.ถ้ำพรรณรา อ.ถ้ำพรรณรา จ.นครศรีธรรมราช 80260,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
คันนาราม,ต.นาสาร อ.พระพรหม จ.นครศรีธรรมราช 80000,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
คงคา,ต.กะหรอ อ.นบพิตำ จ.นครศรีธรรมราช 80160,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
ควนส้าน,ต.ช้างกลาง อ.ช้างกลาง จ.นครศรีธรรมราช 80250,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
ควรนิยม,ต.ตำตัว อ.ตะกั่วป่า จ.พังงา 82110,เขตพื้นที่การศึกษาพังงา เขต 1
คมนียเขต,ต.คึกคัก อ.ตะกั่วป่า จ.พังงา 82110,เขตพื้นที่การศึกษาพังงา เขต 1
คงคาล้อม,ต.คลองสระ อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84160,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
คีรีวง,ต.ปากแพรก อ.ดอนสัก จ.สุราษฎร์ธานี 84340,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
คีรีมาส,ต.ตลิ่งงาม อ.เกาะสมุย จ.สุราษฎร์ธานี 84140,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
คีรีวงการาม,ต.ตลิ่งงาม อ.เกาะสมุย จ.สุราษฎร์ธานี 84140,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
คุณาราม,ต.หน้าเมือง อ.เกาะสมุย จ.สุราษฎร์ธานี 84140,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
ควนศรี,ต.ควนศรี อ.บ้านนาสาร จ.สุราษฎร์ธานี 84270,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ควนท่าแร่,ต.ทรัพย์ทวี อ.บ้านนาเดิม จ.สุราษฎร์ธานี 84240,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
คลองตาล,ต.เวียงสระ อ.เวียงสระ จ.สุราษฎร์ธานี 84190,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
คลองฉนวน,ต.คลองฉนวน อ.เวียงสระ จ.สุราษฎร์ธานี 84190,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
คูขุด,ต.บางหมาก อ.เมืองชุมพร จ.ชุมพร 86000,เขตพื้นที่การศึกษาชุมพร เขต 1
ควนมณี,ต.นากระตาม อ.ท่าแซะ จ.ชุมพร 86140,เขตพื้นที่การศึกษาชุมพร เขต 1
ควน,ต.วิสัยใต้ อ.สวี จ.ชุมพร 86130,เขตพื้นที่การศึกษาชุมพร เขต 2
คูขุด,ต.คูขุด อ.สทิงพระ จ.สงขลา 90190,เขตพื้นที่การศึกษาสงขลา เขต 1
คงคาสวัสดิ์,ต.สะกอม อ.เทพา จ.สงขลา 90150,เขตพื้นที่การศึกษาสงขลา เขต 3
คลองยอ,ต.วังใหญ่ อ.เทพา จ.สงขลา 90260,เขตพื้นที่การศึกษาสงขลา เขต 3
คลองเป็ด,ต.ท่าบอน อ.ระโนด จ.สงขลา 90140,เขตพื้นที่การศึกษาสงขลา เขต 1
คูวา,ต.บ้านขาว อ.ระโนด จ.สงขลา 90140,เขตพื้นที่การศึกษาสงขลา เขต 1
คูหาใน,ต.คูหาใต้ อ.รัตภูมิ จ.สงขลา 90180,เขตพื้นที่การศึกษาสงขลา เขต 2
ควนลังมิตรภาพที่ 11,ต.ควนลัง อ.หาดใหญ่ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
คลองแห,ต.คลองแห อ.หาดใหญ่ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
ควนเนียง,ต.พะตง อ.หาดใหญ่ จ.สงขลา 90230,เขตพื้นที่การศึกษาสงขลา เขต 2
คงคาวดี,ต.รัตภูมิ อ.ควนเนียง จ.สงขลา 90220,เขตพื้นที่การศึกษาสงขลา เขต 2
